mask,f1_pseudo,logp_pseudo,f1_classic,logp_classic,acc_classic,f1_mix,logp_mix,acc_mix,gain_f1_mix_vs_classic,gain_logp_mix_vs_classic,alpha,rw_sigma,mixing_std,multichain,adaptive
top,0.4889372506347479,-89.59193834616991,0.5416666666666666,-92.30299463405541,0.11734375,0.648695054945055,-64.589611708536,0.10945250123739242,0.10702838827838834,27.71338292551941,0.5,0.15,,False,False
random50,0.8485025566106648,-34.000017086540055,0.8658021273495556,-31.492065283752982,0.18734375,0.8770860542736904,-30.23858665236758,0.11179206043481826,0.011283926924134713,1.253478631385402,0.5,0.15,,False,False
bottom,0.4815303430079156,-118.42130907515646,0.5485166872682324,-131.70968238692848,0.09046875,0.6521543311815042,-67.86471796841883,0.1233393369987607,0.10363764391327179,63.84496441850965,0.5,0.15,,False,False
center,0.5295023088763469,-98.59523506865257,0.6534099735901817,-73.62567555433515,0.1309375,0.7234837597010635,-51.39850912221456,0.11703153934329748,0.07007378611088178,22.227166432120583,0.5,0.15,,False,False
