p,f1_pseudo,logp_pseudo,f1_classic,logp_classic,acc_classic,f1_mix,logp_mix,acc_mix,gain_f1_mix_vs_classic,gain_logp_mix_vs_classic,alpha,rw_sigma
0.4,0.8605971789705075,-25.139593405035622,0.8749771187991946,-23.570428706114374,0.1571875,0.8820960698689956,-22.713174486487752,0.17571728989481927,0.007118951069800983,0.857254219626622,0.0,0.15
0.6,0.841240652200564,-43.27977149105029,0.8591515151515151,-39.316098582728955,0.22640625,0.8684497155996611,-38.08899294042567,0.23744780242443084,0.009298200448145999,1.227105642303286,0.0,0.15
0.8,0.6953125,-89.46585530675208,0.7613504074505238,-76.9827687258483,0.205,0.8137291280148423,-64.51887059342415,0.34104627728462217,0.05237872056431847,12.463898132424148,0.0,0.15
0.9,0.39968297101449274,-206.70547853691602,0.5398416357622532,-179.3279802152377,0.14390625,0.7228033472803347,-102.85959154456455,0.42952677071094514,0.1829617115180815,76.46838867067314,0.0,0.15
