label,param,value,step,f1,logp,acc
burn_in=0,burn_in,0.0,0,0.825263766440237,-54.364286547251055,0.5625
burn_in=0,burn_in,0.0,100,0.8627055090856648,-39.07468701254795,0.22625
burn_in=0,burn_in,0.0,200,0.8681699913269731,-36.983944567001735,0.21125
burn_in=0,burn_in,0.0,300,0.8705305651672434,-35.79408586333591,0.16875
burn_in=0,burn_in,0.0,400,0.8705139247774907,-34.90481144464189,0.178125
burn_in=0,burn_in,0.0,500,0.8709260588657574,-34.7472516307826,0.16953125
burn_in=0,burn_in,0.0,600,0.8720746590093323,-34.59395879000979,0.18109375
burn_in=0,burn_in,0.0,700,0.8735500501217242,-34.361047151573565,0.19375
burn_in=0,burn_in,0.0,800,0.8732798165137615,-34.26897368457535,0.194375
burn_in=0,burn_in,0.0,900,0.8727793696275071,-34.183221687094,0.19125
burn_in=0,burn_in,0.0,1000,0.8741759816566351,-34.015373580494696,0.18421875
burn_in=0,burn_in,0.0,1100,0.8728473019517795,-33.90043050090354,0.205625
burn_in=0,burn_in,0.0,1200,0.8732071141709696,-33.855773031126745,0.19421875
burn_in=0,burn_in,0.0,1300,0.8722946825283073,-33.78164089672338,0.17828125
burn_in=0,burn_in,0.0,1400,0.8721847654568928,-33.10481404563897,0.17265625
burn_in=0,burn_in,0.0,1500,0.8722580645161291,-32.89394737718539,0.18421875
burn_in=0,burn_in,0.0,1600,0.8723831373673645,-32.89259171640177,0.1803125
burn_in=0,burn_in,0.0,1700,0.8736389684813753,-32.86262215196476,0.184375
burn_in=0,burn_in,0.0,1800,0.8731546509961301,-32.86866025094117,0.185625
burn_in=0,burn_in,0.0,1900,0.8739061827571367,-32.76725198404854,0.17234375
burn_in=0,burn_in,0.0,2000,0.8751970196303195,-32.56656927972167,0.19453125
burn_in=0,burn_in,0.0,2100,0.8736027515047291,-32.49349918075183,0.18953125
burn_in=0,burn_in,0.0,2200,0.8736917562724015,-32.44385993191976,0.18203125
burn_in=0,burn_in,0.0,2300,0.8746063555682794,-32.37261606413531,0.19265625
burn_in=0,burn_in,0.0,2400,0.8747492118085411,-32.39885174201679,0.19203125
burn_in=0,burn_in,0.0,2500,0.8740507235993695,-32.28211177076449,0.18125
burn_in=0,burn_in,0.0,2600,0.8732798165137615,-32.286720086822754,0.17765625
burn_in=0,burn_in,0.0,2700,0.8736917562724015,-32.28421962704516,0.18203125
burn_in=0,burn_in,0.0,2800,0.8736751647092523,-32.25382784665027,0.2153125
burn_in=0,burn_in,0.0,2900,0.873352435530086,-32.252139971640126,0.17859375
burn_in=0,burn_in,0.0,3000,0.8730295213528232,-32.227466844385376,0.1575
burn_in=0,burn_in,0.0,3100,0.8729566963005448,-32.24974183525588,0.18390625
burn_in=0,burn_in,0.0,3200,0.872993119266055,-32.24660195093341,0.18578125
burn_in=0,burn_in,0.0,3300,0.8721696761249642,-32.16563542662904,0.16609375
burn_in=0,burn_in,0.0,3400,0.8720963579007743,-32.170290736792424,0.1771875
burn_in=0,burn_in,0.0,3500,0.8714859437751004,-32.161494680624926,0.1825
burn_in=0,burn_in,0.0,3600,0.8723831373673645,-32.145322990954384,0.18546875
