param,value,n_iters,burn_in,thinning,eval_every,warmup_pg,f1_final,logp_final,acc_final
thinning,1.0,16000,2000,1,100,50,0.8719643626957896,-31.392421195284946,0.18015625
thinning,5.0,16000,2000,5,100,50,0.8719494688486936,-31.101680289821424,0.17125
thinning,10.0,16000,2000,10,100,50,0.8721264367816092,-31.254512925128992,0.180625
thinning,20.0,16000,2000,20,100,50,0.870615296147211,-31.63624154026785,0.1715625
thinning,50.0,16000,2000,50,100,50,0.8719862227324914,-31.699888658859873,0.2021875
