label,param,value,step,f1,logp,acc
warmup_pg=0,warmup_pg,0.0,7900,0.8713669064748202,-32.06638258490631,0.2040625
warmup_pg=0,warmup_pg,0.0,8000,0.8714039125431531,-32.07104866439645,0.18078125
warmup_pg=0,warmup_pg,0.0,8100,0.8714778608395629,-32.04848279226394,0.18671875
warmup_pg=0,warmup_pg,0.0,8200,0.8718907260963336,-32.058070791578416,0.198125
warmup_pg=0,warmup_pg,0.0,8300,0.871566230404142,-32.03335840128183,0.19453125
warmup_pg=0,warmup_pg,0.0,8400,0.8718538760247375,-32.04299744993823,0.2021875
warmup_pg=0,warmup_pg,0.0,8500,0.8721782890007189,-32.01362864882282,0.19015625
warmup_pg=0,warmup_pg,0.0,8600,0.8721047331319235,-32.02221410892942,0.2009375
warmup_pg=0,warmup_pg,0.0,8700,0.8729154686601495,-32.010275030244266,0.18546875
warmup_pg=0,warmup_pg,0.0,8800,0.872554660529344,-31.964772687762785,0.1821875
warmup_pg=0,warmup_pg,0.0,8900,0.8724658519051043,-31.965840142516175,0.1953125
warmup_pg=0,warmup_pg,0.0,9000,0.8727899956877965,-31.96836758789935,0.18328125
warmup_pg=0,warmup_pg,0.0,9100,0.872826555539589,-31.971615949284313,0.19890625
warmup_pg=0,warmup_pg,0.0,9200,0.8730774759235302,-31.93503102016476,0.18765625
warmup_pg=0,warmup_pg,0.0,9300,0.8723404255319149,-31.944651272070352,0.184375
warmup_pg=0,warmup_pg,0.0,9400,0.8725391579249893,-31.946995725169806,0.16171875
warmup_pg=0,warmup_pg,0.0,9500,0.8727534148094895,-31.957922985455916,0.17625
warmup_pg=0,warmup_pg,0.0,9600,0.8724291672659283,-31.933301137665854,0.16421875
warmup_pg=0,warmup_pg,0.0,9700,0.8730409777138749,-31.928615383798107,0.17609375
warmup_pg=0,warmup_pg,0.0,9800,0.8734905117883841,-31.862777751125748,0.169375
warmup_pg=0,warmup_pg,0.0,9900,0.8729519977004886,-31.869494873539328,0.15875
warmup_pg=0,warmup_pg,0.0,10000,0.873599540361965,-31.817480440536336,0.19734375
warmup_pg=0,warmup_pg,0.0,10100,0.8734377244648758,-31.81052529193703,0.1740625
warmup_pg=0,warmup_pg,0.0,10200,0.8729885057471264,-31.79795243565461,0.18265625
warmup_pg=0,warmup_pg,0.0,10300,0.8730774759235302,-31.795111301613616,0.18984375
warmup_pg=0,warmup_pg,0.0,10400,0.8729154686601495,-31.77296230448109,0.18453125
warmup_pg=0,warmup_pg,0.0,10500,0.8726279470960322,-31.778492261396057,0.1659375
warmup_pg=0,warmup_pg,0.0,10600,0.8729154686601495,-31.764698931553035,0.18078125
warmup_pg=0,warmup_pg,0.0,10700,0.872826555539589,-31.756951816493576,0.1815625
warmup_pg=0,warmup_pg,0.0,10800,0.8731665228645384,-31.730805867448044,0.17171875
warmup_pg=0,warmup_pg,0.0,10900,0.8732394366197183,-31.7361694605915,0.16640625
warmup_pg=0,warmup_pg,0.0,11000,0.8736161035226456,-31.728689485373515,0.16640625
warmup_pg=0,warmup_pg,0.0,11100,0.8736161035226456,-31.735685454382978,0.17015625
warmup_pg=0,warmup_pg,0.0,11200,0.873364956159264,-31.739229294522467,0.18140625
warmup_pg=0,warmup_pg,0.0,11300,0.8736887483833884,-31.725636137777542,0.19140625
warmup_pg=0,warmup_pg,0.0,11400,0.8738143144581776,-31.65498760375468,0.18578125
warmup_pg=0,warmup_pg,0.0,11500,0.8739036664270309,-31.64453531107096,0.16765625
warmup_pg=0,warmup_pg,0.0,11600,0.8736524363949978,-31.649094219259723,0.189375
warmup_pg=0,warmup_pg,0.0,11700,0.8741379310344828,-31.648056678107924,0.189375
warmup_pg=0,warmup_pg,0.0,11800,0.8740123545467605,-31.650259892700785,0.18875
warmup_pg=0,warmup_pg,0.0,11900,0.8741740879057742,-31.64301259294752,0.18390625
warmup_pg=0,warmup_pg,0.0,12000,0.8743718592964824,-31.64733561929708,0.18046875
warmup_pg=0,warmup_pg,0.0,12100,0.8744974152785755,-31.650721553401386,0.1778125
warmup_pg=0,warmup_pg,0.0,12200,0.8745694603903559,-31.656594624522157,0.1871875
warmup_pg=0,warmup_pg,0.0,12300,0.8746949906703029,-31.621000329312352,0.178125
warmup_pg=0,warmup_pg,0.0,12400,0.8748205569910996,-31.6188273149803,0.16953125
warmup_pg=0,warmup_pg,0.0,12500,0.874407923065882,-31.619877284346195,0.165625
warmup_pg=0,warmup_pg,0.0,12600,0.8742463393626184,-31.624040319042162,0.17640625
warmup_pg=0,warmup_pg,0.0,12700,0.8739954075774972,-31.591437477442994,0.18578125
warmup_pg=0,warmup_pg,0.0,12800,0.8738699956952217,-31.59658227430644,0.2096875
warmup_pg=0,warmup_pg,0.0,12900,0.8739230327398048,-31.574344168412516,0.19609375
warmup_pg=0,warmup_pg,0.0,13000,0.8743357748097085,-31.57533391541669,0.17984375
warmup_pg=0,warmup_pg,0.0,13100,0.8737975592246949,-31.55568681740636,0.19515625
warmup_pg=0,warmup_pg,0.0,13200,0.8742102240091901,-31.55843671284736,0.19203125
warmup_pg=0,warmup_pg,0.0,13300,0.8734740772655465,-31.565033970333275,0.17578125
warmup_pg=0,warmup_pg,0.0,13400,0.8733122665900603,-31.527824112425048,0.191875
warmup_pg=0,warmup_pg,0.0,13500,0.8737613097802671,-31.53492665936991,0.1865625
warmup_pg=0,warmup_pg,0.0,13600,0.8740847092605887,-31.531805639034463,0.19046875
warmup_pg=0,warmup_pg,0.0,13700,0.8740847092605887,-31.42302693367951,0.179375
warmup_pg=0,warmup_pg,0.0,13800,0.8736721217341372,-31.414743800743807,0.16375
warmup_pg=0,warmup_pg,0.0,13900,0.8739954075774972,-31.419271757424447,0.18234375
warmup_pg=0,warmup_pg,0.0,14000,0.8742463393626184,-31.427137099361715,0.1615625
warmup_pg=0,warmup_pg,0.0,14100,0.8741208554614611,-31.418527761440327,0.18734375
warmup_pg=0,warmup_pg,0.0,14200,0.8738337878570404,-31.42184104241497,0.1603125
warmup_pg=0,warmup_pg,0.0,14300,0.8738337878570404,-31.426980323830445,0.17890625
warmup_pg=0,warmup_pg,0.0,14400,0.8733850129198967,-31.433172008488377,0.1709375
warmup_pg=0,warmup_pg,0.0,14500,0.8733850129198967,-31.440005040028982,0.1671875
warmup_pg=0,warmup_pg,0.0,14600,0.8729361091170137,-31.4451187545917,0.19546875
warmup_pg=0,warmup_pg,0.0,14700,0.8730090400344382,-31.43575519797137,0.1784375
warmup_pg=0,warmup_pg,0.0,14800,0.8734213547646383,-31.44246804355779,0.16484375
warmup_pg=0,warmup_pg,0.0,14900,0.8729725850437778,-31.448707077859737,0.15609375
warmup_pg=0,warmup_pg,0.0,15000,0.8721480843736548,-31.452488234820564,0.17734375
warmup_pg=0,warmup_pg,0.0,15100,0.8723984498349361,-31.45693868474549,0.1690625
warmup_pg=0,warmup_pg,0.0,15200,0.8725602755453502,-31.4621177689358,0.1803125
warmup_pg=0,warmup_pg,0.0,15300,0.8723098995695839,-31.468002520095617,0.16546875
warmup_pg=0,warmup_pg,0.0,15400,0.8724716683402668,-31.468469292211516,0.18046875
warmup_pg=0,warmup_pg,0.0,15500,0.8723098995695839,-31.472751092583827,0.19265625
warmup_pg=0,warmup_pg,0.0,15600,0.8724716683402668,-31.473913009668543,0.184375
warmup_pg=0,warmup_pg,0.0,15700,0.8720229555236729,-31.47939272819622,0.2
warmup_pg=0,warmup_pg,0.0,15800,0.8718610991533936,-31.41157248432063,0.16984375
warmup_pg=0,warmup_pg,0.0,15900,0.8721113822305153,-31.41743437653369,0.1825
warmup_pg=10,warmup_pg,10.0,2000,0.8427835051546392,-45.49666025435117,0.18325212393803098
warmup_pg=10,warmup_pg,10.0,2100,0.8598826391870616,-37.60799839064051,0.20453125
warmup_pg=10,warmup_pg,10.0,2200,0.8626775721050366,-36.513076303217375,0.1934375
