step,f1,logp
2000,0.8227259517582098,-52.9947892621642
2100,0.8464452214452215,-41.37868647135896
2200,0.8529368896662294,-38.98121370270505
2300,0.851603498542274,-38.088690671686564
2400,0.8517708788806296,-37.305965780943055
2500,0.8528896672504378,-36.735008498227046
2600,0.8544792425345957,-36.43973529249472
2700,0.8546884100174723,-36.15916140313428
2800,0.855893923939968,-35.82266144350014
2900,0.8563938246431693,-35.32634816225776
3000,0.8558532323820618,-34.95813661191235
3100,0.8552286629769881,-34.76027706921259
3200,0.8552286629769881,-34.499832946078826
3300,0.8551061972650568,-34.394265150952386
3400,0.8551463095064784,-33.80099521821609
3500,0.855104121159167,-33.66284653349409
3600,0.8554778554778555,-33.59162181736214
3700,0.8555604139338289,-33.54785099304651
3800,0.8552669973737963,-33.51164819499734
3900,0.8552267094328619,-33.288067162554206
4000,0.854977408541029,-33.27907013584584
4100,0.8544765237678623,-33.30560902073421
4200,0.8551020408163266,-33.23356237453653
4300,0.8553110884452864,-33.26310504807772
4400,0.8556445739257101,-33.24688201438159
4500,0.8557257476294675,-32.927370268408254
4600,0.856268221574344,-32.836322161700636
4700,0.8561853416873088,-32.70459590068602
4800,0.856268221574344,-32.688375325600134
4900,0.8563101136694841,-32.652924580516505
5000,0.856268221574344,-32.64056149240352
5100,0.8569764054762599,-32.623883227833446
5200,0.8557692307692307,-32.65215727540796
5300,0.8554357330224425,-32.615652692270984
5400,0.8551020408163266,-32.6173564947362
5500,0.8546037296037297,-32.621022800782484
5600,0.8548951048951049,-32.57078805385571
5700,0.8552286629769881,-32.55421976959963
5800,0.8544792425345957,-32.49100145385469
5900,0.8544792425345957,-32.47699387991789
6000,0.8546037296037297,-32.43640156330555
6100,0.8544792425345957,-32.4491403854521
6200,0.8544368352032639,-32.32826460048058
6300,0.8543944031482291,-32.29347938153538
6400,0.8538965768390386,-32.31420198140239
6500,0.8542698921597202,-32.228381370266064
6600,0.8547257876312718,-32.24225909752518
6700,0.8551020408163266,-32.18547209007093
6800,0.8548104956268222,-32.18821841532236
6900,0.8553092182030338,-32.14256236647368
7000,0.8548928102668806,-32.124331790852764
7100,0.8553514144065325,-32.12710649175956
7200,0.8555182971278612,-32.13823030607388
7300,0.8555182971278612,-32.06989824712317
7400,0.8553110884452864,-32.085500092087855
7500,0.8553514144065325,-32.037438186442685
7600,0.8551844830100627,-32.04417057321302
7700,0.8556851311953353,-32.05571317107276
7800,0.8549351217378627,-32.066408014726306
7900,0.8550597841936425,-32.0813149921517
8000,0.8550999562235517,-32.092242486638796
8100,0.8558505981908374,-32.08750750613042
8200,0.8557257476294675,-32.099085445787736
8300,0.8554339897884755,-32.10525979659009
8400,0.8557257476294675,-32.10834609138428
8500,0.8555587977823169,-32.11351691620817
8600,0.8558505981908374,-32.12542418027209
8700,0.8556836422004961,-32.12263049888098
8800,0.8558085230589609,-32.122940319242694
8900,0.8556415121880018,-32.120961750263945
9000,0.8553917992120239,-32.118509531410965
9100,0.8557257476294675,-32.1248732694754
9200,0.8557257476294675,-32.12861476759644
9300,0.8553495840023354,-32.107967560403374
9400,0.8554744525547445,-32.11382154618698
9500,0.8555166374781086,-32.1228389960549
9600,0.8551401869158879,-32.12473265252249
9700,0.8554744525547445,-32.13025408081754
9800,0.8548905109489051,-32.13623910887719
9900,0.854932866316404,-32.145704785563986
10000,0.8550153307052124,-32.15455686160651
10100,0.8553495840023354,-32.10804656966133
10200,0.8553495840023354,-32.09466402194253
10300,0.8554744525547445,-32.04731190181785
10400,0.8555166374781086,-32.05239271990787
10500,0.8557664233576643,-32.04764868132625
10600,0.855933440373668,-31.930480028222558
10700,0.8564341990078786,-31.928898605843685
10800,0.8565179352580927,-31.936417475246287
10900,0.856268221574344,-31.935440477286942
11000,0.856393060212859,-31.920066028055388
11100,0.856393060212859,-31.926365013818796
11200,0.8563511739827913,-31.865073000848987
11300,0.8561843640606768,-31.866872583501195
11400,0.8568095654709827,-31.872717137056867
11500,0.8565179352580927,-31.878346457433754
11600,0.8562263050452027,-31.872863506340327
11700,0.8563511739827913,-31.85810366144424
11800,0.856393060212859,-31.859407137354818
11900,0.8561843640606768,-31.865671393271814
12000,0.8562673281774406,-31.85458209192023
12100,0.8562673281774406,-31.863347621684582
12200,0.8564760793465578,-31.866644483752662
12300,0.8565179352580927,-31.84612682874763
12400,0.8567677946324388,-31.843690624068863
12500,0.8566010211524435,-31.813928218768282
12600,0.8563092633114515,-31.821408698306115
12700,0.8566010211524435,-31.830030283909444
12800,0.8562673281774406,-31.833927221537767
12900,0.8561004086398132,-31.837492016026737
13000,0.8565591711659127,-31.81589189670784
13100,0.8567677946324388,-31.821144574184867
13200,0.8566010211524435,-31.82496549589372
13300,0.8567677946324388,-31.818527468943813
13400,0.8567259994163992,-31.811881111255595
13500,0.8566428467259735,-31.80090227433017
13600,0.8568927789934354,-31.80799749801362
13700,0.8566010211524435,-31.778927129485034
13800,0.8571011956838729,-31.775409065521245
13900,0.8566846479078583,-31.777878355424633
14000,0.8568095654709827,-31.7818053245379
14100,0.8570595099183197,-31.78773576034987
14200,0.8565179352580927,-31.78587299729299
14300,0.8566428467259735,-31.792059315964927
14400,0.8566428467259735,-31.79967739725202
14500,0.8567677946324388,-31.804561096754618
14600,0.8568095654709827,-31.811631371423857
14700,0.8566846479078583,-31.818380370545327
14800,0.856393060212859,-31.820538986785667
14900,0.8566846479078583,-31.825489593497732
