mask,f1_pseudo,logp_pseudo,f1_mwg,logp_mwg,mixing_std,acc_mwg,adaptive,multichain
top,0.5112219451371571,-85.31260278625862,0.5635607897471424,-76.56396912409542,,0.1075,False,False
random50,0.8565597667638484,-31.8182162952124,0.8685630926331145,-30.440848234335014,,0.16453125,False,False
bottom,0.486328125,-108.15370836995223,0.5447360101169776,-118.56624492574203,,0.08203125,False,False
center,0.5616345829111786,-99.27569580725614,0.6331938633193863,-83.25013281541678,,0.1003125,False,False
