mask,f1_pseudo,logp_pseudo,f1_classic,logp_classic,acc_classic,f1_multi,logp_multi,acc_multi,gain_f1_multi_vs_classic,gain_logp_multi_vs_classic,mixing_std,n_chains,adaptive
top,0.5116444444444445,-80.97154918807604,0.5587268638643833,-81.27690699008133,0.1278125,0.5693962526023595,-80.32558432518306,0.12421875,0.010669388737976182,0.9513226648982709,0.022084370255470276,5,False
random50,0.8540103866128101,-32.465651483934096,0.8686026451983899,-30.00541099117708,0.1596875,0.868352974992814,-29.937468268962867,0.17390625,-0.0002496702055758693,0.06794272221421238,0.003281237790361047,5,False
bottom,0.4823857119449451,-104.55948978224578,0.5324573752541842,-117.20550332293601,0.0896875,0.5439870863599677,-110.37037190682051,0.07125,0.011529711105783491,6.835131416115502,0.040202315896749496,5,False
center,0.5589259075087022,-107.05754574982124,0.6365868631062002,-75.67305782678594,0.11109375,0.6421216848673947,-78.84247676063576,0.14515625,0.005534821761194575,-3.169418933849826,0.040317755192518234,5,False
