step,f1,logp,acc
2000,0.6405003909304143,-159.25585360916466,0.13875093703148425
2100,0.6511044963183457,-138.74591205677683,0.1475
2200,0.6547842401500938,-126.8516094278229,0.12921875
2300,0.6515483265561464,-120.37036871862611,0.13703125
2400,0.6519146264908977,-114.9898411329905,0.13515625
2500,0.6519476423277085,-111.89873999663759,0.1403125
2600,0.6514267696673498,-110.71257877532148,0.14515625
2700,0.6515366430260048,-107.5558312122316,0.13109375
2800,0.6533689335636877,-104.66094942778345,0.13703125
2900,0.6530804201285468,-103.23442200516764,0.1371875
3000,0.6508410627259865,-101.02464805656905,0.1453125
3100,0.6481802426343154,-99.02256030408597,0.154375
3200,0.6504013851723596,-97.84291599820322,0.1428125
3300,0.6511188150015758,-95.5849238298197,0.146875
3400,0.65309985802177,-94.47362451750595,0.1434375
3500,0.6550962448721994,-92.95549157066438,0.13015625
3600,0.6558102766798419,-92.41264853095365,0.12515625
3700,0.6572784810126582,-92.36963533659909,0.12046875
3800,0.6573780873970868,-91.75973599304643,0.15609375
3900,0.6553475087273881,-90.33956369070435,0.12984375
4000,0.6573471008737093,-90.26749360578265,0.1259375
4100,0.6571155682903533,-90.16921709952595,0.12046875
4200,0.6553042370181587,-89.16423667555478,0.12859375
4300,0.6581673306772908,-88.30350801008177,0.1190625
4400,0.6603023070803501,-86.86106374803862,0.1378125
4500,0.6609332696289218,-86.35593509793992,0.13015625
4600,0.6600859735710874,-86.13716885300937,0.12453125
4700,0.6576217079010375,-85.26338586374109,0.135625
4800,0.6585755349728522,-84.95863702068672,0.14859375
4900,0.6581428799744287,-84.69235017422426,0.1309375
5000,0.6549126462574131,-83.6221866484396,0.14234375
5100,0.6555591156680551,-83.58333439013973,0.15125
5200,0.6549013316220119,-82.85339522229658,0.1375
5300,0.65553772070626,-81.7875127119845,0.11890625
5400,0.6545746388443018,-81.7357553256916,0.1240625
5500,0.653598971722365,-81.70627978985561,0.123125
5600,0.6539080090061112,-81.60097323149407,0.12796875
5700,0.6530349380132023,-81.55320476490888,0.12828125
5800,0.6529231760347882,-81.57474314068907,0.1271875
5900,0.6527061855670103,-81.50997475321563,0.1384375
6000,0.6534493874919407,-81.4452581473468,0.11640625
6100,0.6531204644412192,-81.46880709571121,0.12796875
6200,0.6523632844007098,-81.38078944579595,0.12546875
6300,0.6538771562147349,-81.07766090463838,0.11984375
6400,0.6546217131795451,-80.57333581013035,0.1146875
6500,0.6541754159263446,-80.59490287660702,0.1159375
6600,0.6536285760465492,-80.60029069033598,0.115
6700,0.65514456469068,-80.61405644831419,0.11609375
6800,0.6565379020526911,-80.05374502768227,0.1090625
6900,0.6562146436075642,-79.97291355980983,0.1334375
7000,0.6553453016335112,-79.94949893742616,0.1353125
7100,0.6550218340611353,-79.43290903527594,0.1253125
7200,0.6551333872271625,-79.05151132395741,0.14078125
7300,0.654368932038835,-78.02317106727696,0.14203125
7400,0.6553398058252428,-77.63086795832412,0.12625
7500,0.6558809254165993,-77.50997930490847,0.14265625
7600,0.6557748301520544,-77.52573868223975,0.13859375
7700,0.6541572306696862,-77.54305734190447,0.1309375
7800,0.6544689119170984,-77.5508342896288,0.12671875
7900,0.6546867411364741,-77.5674770291528,0.134375
8000,0.654257041113629,-77.56380169518053,0.12859375
8100,0.6537153958232151,-77.56833338443758,0.13609375
8200,0.6543450064850843,-77.4789069217326,0.13140625
8300,0.6542389366185768,-77.02934580465059,0.1453125
8400,0.6556527372853903,-76.95016454499441,0.1284375
8500,0.6556527372853903,-76.2161958401315,0.126875
8600,0.655434958691074,-76.22148845638313,0.13828125
8700,0.6552059682127798,-76.23556028165373,0.13796875
8800,0.6546692607003891,-76.24796133552967,0.12265625
8900,0.6538024971623155,-76.25917287562802,0.12609375
9000,0.6540207522697795,-76.27243714565013,0.14390625
9100,0.6538087520259319,-76.28474503068297,0.13859375
9200,0.6538024971623155,-76.21612654124785,0.1484375
9300,0.6532532857374655,-75.74969150598318,0.14671875
9400,0.6536838688737423,-75.76134170453382,0.1446875
9500,0.654226837579101,-75.56733757128183,0.125
9600,0.6528093536862618,-75.58001407023056,0.135625
9700,0.652046783625731,-75.59116620340765,0.11828125
9800,0.6524707412223667,-75.56077628049832,0.1215625
9900,0.6526829268292683,-74.18145740301381,0.13875
10000,0.6526829268292683,-73.87533796783964,0.13234375
10100,0.6519265160136564,-73.38101063936475,0.1184375
10200,0.6510569105691056,-73.3165272566026,0.1315625
10300,0.6504965000813935,-73.32746403983779,0.12640625
10400,0.6507161458333334,-72.43616069811956,0.13890625
10500,0.6512611879576892,-72.33415540543213,0.1396875
10600,0.652251666395708,-72.18196630927307,0.14890625
10700,0.6519265160136564,-72.04928566612932,0.15390625
10800,0.6524776604386677,-72.05361206468811,0.1303125
10900,0.6525836854078648,-71.62932997848657,0.14546875
