mask,f1_pseudo,logp_pseudo,f1_mwg,logp_mwg,mixing_std,acc_mwg,adaptive,multichain
top,0.5602124028067513,-64.78746081850507,0.6322789360172538,-59.042218784982964,,0.14984375,False,False
random50,0.8530923819909644,-29.554136192796673,0.8784012298232129,-27.439508356449096,,0.19953125,False,False
bottom,0.4673614920460779,-106.74774284178613,0.516445066480056,-113.8337514202145,,0.07984375,False,False
center,0.5077926785067053,-86.72792401189653,0.6549192364170338,-65.86990041815756,,0.13796875,False,False
