step,f1,logp,acc
2000,0.8473846153846154,-39.85163157235751,0.19825243628185907
2100,0.8639581409664512,-34.37813277942448,0.1921875
2200,0.8659476117103235,-32.76972929545023,0.19421875
2300,0.8701138811942136,-31.63126888592305,0.1896875
2400,0.8696993060909792,-31.38142443629304,0.20015625
2500,0.8661830529402685,-30.95732338604689,0.18296875
2600,0.8651650725084851,-30.770356267485166,0.18578125
2700,0.8670573719925971,-30.54348607131389,0.1859375
2800,0.8674475955610358,-30.336913782841812,0.18640625
2900,0.8702478066800061,-30.06953567427739,0.1946875
3000,0.8700738916256158,-29.89101554192064,0.17828125
3100,0.871195819243775,-29.507092266134205,0.17296875
3200,0.8728279255728125,-29.406684928260365,0.18546875
3300,0.8716133004926109,-29.20346620645946,0.185625
3400,0.8721735117674204,-29.151362694956106,0.19828125
3500,0.8728617660656496,-29.109440914105466,0.19015625
3600,0.8723404255319149,-29.12898053609861,0.18828125
3700,0.8718027734976888,-28.96790495091414,0.1875
3800,0.8734781938665434,-28.85074625950494,0.1903125
3900,0.8727664818237831,-28.856978399015098,0.2009375
4000,0.8748653224565184,-28.842299048312753,0.184375
4100,0.87422934648582,-28.874655649287302,0.2015625
4200,0.8745376078914919,-28.823797902710268,0.1865625
4300,0.8737864077669902,-28.747118153297503,0.2103125
4400,0.8745762711864407,-28.74702017801365,0.1925
4500,0.874845869297164,-28.767711062311147,0.1965625
4600,0.8749229821318546,-28.772889938655243,0.1940625
4700,0.8751926040061633,-28.72562282982289,0.18015625
4800,0.8765983669696503,-28.718393726944008,0.1975
4900,0.8759821291018333,-28.717220636917887,0.20375
5000,0.8761552680221811,-28.68448440385678,0.20734375
5100,0.8768093624884509,-28.645330664338623,0.19015625
5200,0.8763283536115817,-28.62302739050169,0.18375
5300,0.8763283536115817,-28.617528684465473,0.19484375
5400,0.8763283536115817,-28.585593931148857,0.19640625
5500,0.8759821291018333,-28.603377571863206,0.1896875
5600,0.8769822940723634,-28.60843096069836,0.196875
5700,0.8764044943820225,-28.594962010755673,0.20328125
5800,0.8765394088669951,-28.55002321319975,0.20890625
5900,0.8770958314105523,-28.513133984212914,0.2
6000,0.8771929824561403,-28.521149569835078,0.2
6100,0.8776734882289583,-28.519345115676163,0.19640625
6200,0.8769064859035588,-28.510674232358856,0.184375
6300,0.8772902232486528,-28.462439495120634,0.1853125
6400,0.8767123287671232,-28.36468098382601,0.19796875
6500,0.8772902232486528,-28.28419950262711,0.19328125
6600,0.8770416024653312,-28.290020058705288,0.1921875
6700,0.8774849745723532,-28.257741605260414,0.20640625
6800,0.8773875539125077,-28.275450105095622,0.175
6900,0.8766954377311961,-28.223868643649524,0.1815625
7000,0.8769822940723634,-28.0986619305501,0.17671875
7100,0.8766743648960739,-28.062720473066683,0.170625
7200,0.8771929824561403,-28.068053020159958,0.17671875
7300,0.8772524256892038,-28.07827931225936,0.1915625
7400,0.8772524256892038,-28.087721179102473,0.2065625
7500,0.8774253156760087,-28.095752115791182,0.17328125
7600,0.8763871763255241,-28.106139262226073,0.18484375
7700,0.8765603328710125,-28.105199746922807,0.16703125
7800,0.8768685467714594,-28.078755911031717,0.18546875
7900,0.8769657724329325,-28.08519614394906,0.17875
8000,0.8772741288930003,-28.056757883994468,0.18546875
8100,0.8767334360554699,-28.023184854593843,0.1871875
8200,0.8774849745723532,-28.020380857525097,0.18671875
8300,0.8779060816012317,-27.99638458086101,0.1821875
8400,0.8777332922697875,-27.91577368715178,0.1890625
8500,0.8777332922697875,-27.922597785846033,0.203125
8600,0.8773875539125077,-27.904714977289512,0.17
8700,0.8767714109673445,-27.904238599754777,0.19328125
8800,0.8768093624884509,-27.909131454549126,0.181875
8900,0.8772146048374673,-27.908357391514727,0.20578125
9000,0.8775604497150777,-27.917338004858465,0.19609375
9100,0.8771551724137931,-27.904439805647115,0.1940625
9200,0.8778085564789165,-27.915679685169422,0.1940625
9300,0.8777332922697875,-27.900532799520164,0.19890625
9400,0.8776734882289583,-27.86242832568875,0.18359375
9500,0.8768851954447522,-27.867075557379483,0.1896875
9600,0.8774630541871922,-27.87383913208187,0.16875
9700,0.8777709359605911,-27.8696809902382,0.17640625
9800,0.8781163434903048,-27.879136412927522,0.16828125
9900,0.8786945812807881,-27.8882913224682,0.18921875
10000,0.8774630541871922,-27.871966979060183,0.17859375
10100,0.8772524256892038,-27.843430795304045,0.1896875
10200,0.8775007694675284,-27.844133111741762,0.19421875
10300,0.8775384615384615,-27.847205176948137,0.1825
10400,0.8774411809933876,-27.810623066866757,0.17859375
10500,0.8778461538461538,-27.80757449515282,0.19
10600,0.877478862413528,-27.760863209508425,0.19875
10700,0.8776137761377614,-27.76097048885739,0.195
10800,0.8777487313547594,-27.758622473635654,0.17375
10900,0.8778837280836665,-27.761496299199642,0.18515625
11000,0.8777487313547594,-27.768656940386904,0.175
11100,0.877403476388248,-27.71996101221073,0.1621875
11200,0.8775761304214088,-27.72972611804707,0.1765625
11300,0.8773657485767041,-27.73460264085579,0.1921875
11400,0.877403476388248,-27.739702934743654,0.1696875
11500,0.8770958314105523,-27.74245006231236,0.16890625
11600,0.8770958314105523,-27.70631678682355,0.1828125
11700,0.8771929824561403,-27.707108937253874,0.1809375
11800,0.8769822940723634,-27.715534340642705,0.1765625
11900,0.8768472906403941,-27.718276960610297,0.17609375
12000,0.8769822940723634,-27.726115677467433,0.17734375
12100,0.8772902232486528,-27.724136176986185,0.1671875
12200,0.8773279975373249,-27.7266904960098,0.17265625
12300,0.8773279975373249,-27.684702788882774,0.16921875
12400,0.8775384615384615,-27.652881466696563,0.1753125
12500,0.8768260802706443,-27.65524119227699,0.18734375
12600,0.8767881864328565,-27.66145459799433,0.1759375
12700,0.8772307692307693,-27.66904172821731,0.19046875
12800,0.87705800892445,-27.66948761792068,0.1684375
12900,0.8772307692307693,-27.659321843433915,0.1721875
13000,0.8772307692307693,-27.536540918328896,0.17609375
13100,0.8770958314105523,-27.458872880498156,0.185625
13200,0.8768260802706443,-27.465325369236513,0.16515625
13300,0.8770958314105523,-27.47204783703831,0.18265625
13400,0.8772307692307693,-27.477613808817857,0.1803125
13500,0.877403476388248,-27.474025431846705,0.16
13600,0.8777111213659436,-27.481218588036683,0.14890625
13700,0.8775007694675284,-27.48217083982935,0.16875
13800,0.8778461538461538,-27.482101050658212,0.17234375
13900,0.8776734882289583,-27.477941107099838,0.17609375
14000,0.8778461538461538,-27.485189198603976,0.18546875
14100,0.8781913257459243,-27.47761984938243,0.17078125
14200,0.8780187663436394,-27.474168883930183,0.16671875
14300,0.8778837280836665,-27.473447296298207,0.1659375
14400,0.8781538461538462,-27.471114300306787,0.1746875
14500,0.8780187663436394,-27.476448796723137,0.17875
14600,0.8781913257459243,-27.479412240496956,0.1878125
14700,0.8783638320775027,-27.478626026568634,0.17609375
14800,0.8783264113213352,-27.481887435384,0.17828125
14900,0.878056281716131,-27.423218986720862,0.1709375
15000,0.8785736243467568,-27.427568414185615,0.188125
15100,0.8782662158007992,-27.433096323086414,0.193125
15200,0.8784386045796834,-27.43956297797986,0.1725
15300,0.8783036263060848,-27.43811543947463,0.17890625
15400,0.8788810328927145,-27.44225708715302,0.1671875
15500,0.8785362853628537,-27.448230790070742,0.196875
15600,0.8783638320775027,-27.443021078289814,0.20375
15700,0.8781913257459243,-27.435519098050847,0.1703125
15800,0.8787086856264412,-27.43803940999335,0.18265625
15900,0.8783638320775027,-27.439508356449096,0.19953125
