step,pseudo_logp,pseudo_k
4340,-230.19727003165326,55.0
4360,-228.5298816654756,52.0
4380,-220.74312669913786,54.0
4400,-234.50151997819114,66.0
4420,-235.43192368194636,47.0
4440,-236.37391450629565,46.0
4460,-233.31932751550454,52.0
4480,-220.2420572343415,30.0
4500,-222.2455200449211,44.0
4520,-223.3939138071332,55.0
4540,-232.83615766904825,33.0
4560,-238.93228410582162,56.0
4580,-243.27736087754224,52.0
4600,-242.4919097423612,61.0
4620,-234.84196904850495,54.0
4640,-227.94615048034808,50.0
4660,-221.53278395667763,52.0
4680,-223.62465389922568,46.0
4700,-226.83483755517202,71.0
4720,-220.49975006673003,34.0
4740,-231.74095853953838,32.0
4760,-236.24625649780216,26.0
4780,-228.34434742957998,58.0
4800,-230.3865350853934,38.0
4820,-235.75784035461834,27.0
4840,-236.38537888886765,32.0
4860,-223.98053092079556,33.0
4880,-229.4169143588241,35.0
4900,-225.09886980305072,38.0
4920,-223.36426406571397,33.0
4940,-226.13886569576647,43.0
4960,-234.61282469803416,46.0
4980,-243.5830455599531,35.0
5000,-233.6119098704071,45.0
5020,-243.1418877269215,45.0
5040,-236.37854372731528,40.0
5060,-243.70954026589857,46.0
5080,-239.38663464989662,49.0
5100,-242.52658822925758,49.0
5120,-246.55697034019357,57.0
5140,-241.5113864402243,35.0
5160,-238.19210028131494,40.0
5180,-237.6595449185478,47.0
5200,-233.76945457365971,50.0
5220,-242.54220209574646,66.0
5240,-242.13008275218232,34.0
5260,-231.54236778546522,51.0
5280,-238.27611275607438,48.0
5300,-236.70441764471752,42.0
5320,-228.00163983140118,46.0
5340,-239.9680624195202,49.0
5360,-240.05149195682975,41.0
5380,-238.07490516189287,36.0
5400,-238.31880628695905,48.0
5420,-238.95947701494646,42.0
5440,-236.07352642226041,63.0
5460,-238.9775013817722,52.0
5480,-245.22845165957696,51.0
5500,-226.0311410212342,55.0
5520,-250.3190888695076,54.0
5540,-250.37174093794886,56.0
5560,-236.5747612617295,52.0
5580,-231.43390855871615,48.0
5600,-227.88436981529253,30.0
5620,-227.3124997511493,33.0
5640,-238.67449014031487,32.0
5660,-235.56473345802397,28.0
5680,-232.83701640189815,29.0
5700,-227.39707879831138,26.0
