step,mwg_logp,mwg_k,mwg_acc
5040,-197.09281664626633,40.0,0.140625
5060,-195.46993982829684,47.0,0.140625
5080,-200.23074102850808,40.0,0.078125
5100,-193.4799741278418,32.0,0.15625
5120,-198.16055350876633,33.0,0.0625
5140,-199.92157007247553,39.0,0.109375
5160,-200.8671550612696,36.0,0.140625
5180,-200.39061379391921,46.0,0.078125
5200,-204.8411772899601,42.0,0.109375
5220,-206.824549233806,52.0,0.125
5240,-204.77987217683702,42.0,0.078125
5260,-203.63478449962105,40.0,0.09375
5280,-203.30821155296906,37.0,0.15625
5300,-195.1295675109479,45.0,0.15625
5320,-199.71938594059839,51.0,0.21875
5340,-201.8565928418647,53.0,0.125
5360,-202.12735475127698,51.0,0.109375
5380,-191.16148147178473,50.0,0.109375
5400,-190.6438343426178,54.0,0.09375
5420,-199.19801229884797,51.0,0.0625
5440,-195.11385267787327,51.0,0.078125
5460,-200.81334568845438,54.0,0.15625
5480,-202.47738357351335,60.0,0.078125
5500,-206.0427534128006,64.0,0.078125
5520,-196.99373652646756,53.0,0.078125
5540,-200.00388952642385,44.0,0.0625
5560,-193.01832906122178,49.0,0.21875
5580,-194.79159222640416,52.0,0.078125
5600,-192.16213156024725,50.0,0.15625
5620,-190.94978977819812,56.0,0.109375
5640,-189.8593779428076,43.0,0.203125
5660,-196.42865169238846,54.0,0.125
5680,-200.40298047416496,48.0,0.140625
5700,-200.27358647642257,51.0,0.140625
5720,-196.80706009718648,45.0,0.125
5740,-195.74349444407568,48.0,0.125
5760,-196.2900925544174,52.0,0.09375
5780,-191.52226901898612,50.0,0.125
5800,-194.4982384143162,51.0,0.078125
5820,-193.0047003524008,46.0,0.125
5840,-192.1108411448968,42.0,0.078125
5860,-191.08918897857774,35.0,0.171875
5880,-188.90643978437777,40.0,0.125
5900,-189.37100352422027,40.0,0.15625
5920,-199.04414020617975,43.0,0.109375
5940,-199.04750523389112,38.0,0.125
5960,-208.74932087491487,46.0,0.140625
5980,-205.22812732778695,35.0,0.125
6000,-201.66046717157937,45.0,0.171875
6020,-195.88002623295785,47.0,0.03125
6040,-194.9163300783144,57.0,0.0625
6060,-198.93523282835872,47.0,0.203125
6080,-197.7235411171631,49.0,0.109375
6100,-196.05318288135106,48.0,0.1875
6120,-200.71216614384542,46.0,0.15625
6140,-189.04510432068753,47.0,0.109375
6160,-194.9901413081214,47.0,0.125
6180,-192.39267170518747,49.0,0.15625
6200,-195.56196604312333,49.0,0.203125
6220,-189.60333446291452,46.0,0.0625
6240,-194.038927644162,49.0,0.109375
6260,-194.4281147602017,46.0,0.15625
6280,-194.95557756783433,47.0,0.140625
6300,-192.29855322500893,46.0,0.171875
6320,-187.0263360606378,36.0,0.109375
6340,-181.18011079872053,41.0,0.078125
6360,-187.47573574576387,40.0,0.109375
6380,-193.16334362717384,34.0,0.125
6400,-189.76319480832538,36.0,0.109375
6420,-183.75273773063674,39.0,0.078125
6440,-181.3391577624178,41.0,0.03125
6460,-186.1977652147414,41.0,0.109375
6480,-182.53812722080153,54.0,0.09375
6500,-183.75025745963637,53.0,0.1875
6520,-184.1896102528899,52.0,0.0625
6540,-177.6626112019031,56.0,0.140625
6560,-180.3496993974245,55.0,0.171875
6580,-187.3662225464326,49.0,0.125
6600,-189.3438919627592,57.0,0.125
6620,-193.44320843766485,63.0,0.125
6640,-192.24464142290222,59.0,0.09375
6660,-191.6772889857699,50.0,0.15625
6680,-189.74998386345362,52.0,0.15625
6700,-187.9566944323558,50.0,0.171875
6720,-188.0789030383579,48.0,0.09375
6740,-187.40253991336618,44.0,0.15625
6760,-186.48421079981847,47.0,0.203125
6780,-188.90351872386185,47.0,0.1875
6800,-188.08343164989236,51.0,0.1875
6820,-183.2634415227763,53.0,0.09375
6840,-179.5605492860688,56.0,0.15625
6860,-190.51935556401423,51.0,0.15625
6880,-191.7457490930002,57.0,0.0625
6900,-202.38796588907286,43.0,0.171875
6920,-199.67260157550692,42.0,0.140625
6940,-199.97558878469977,39.0,0.109375
6960,-196.91592407024444,35.0,0.109375
6980,-197.46938482972206,38.0,0.15625
7000,-196.2592635345252,34.0,0.0625
7020,-199.02017319754418,30.0,0.09375
7040,-201.33946173027107,34.0,0.078125
7060,-193.93776176475524,34.0,0.125
7080,-197.83870762393056,40.0,0.078125
7100,-195.96040281990813,32.0,0.109375
7120,-198.69735252024975,38.0,0.09375
7140,-193.45878838965905,46.0,0.125
7160,-195.08008389676692,45.0,0.125
7180,-190.72929883550944,49.0,0.140625
7200,-192.4968551138864,50.0,0.109375
7220,-194.26434238114638,47.0,0.1875
7240,-199.80128580521824,51.0,0.109375
7260,-186.9377236835109,48.0,0.078125
7280,-191.6199200351209,43.0,0.09375
7300,-189.91509432658154,54.0,0.15625
7320,-187.10518395373907,48.0,0.140625
7340,-192.2638681674355,44.0,0.109375
7360,-195.36442715343497,40.0,0.109375
7380,-195.44550164810914,45.0,0.15625
7400,-191.61558632735884,44.0,0.140625
7420,-190.07771363016408,47.0,0.140625
7440,-193.00244786767018,44.0,0.0625
7460,-195.77335153788314,40.0,0.046875
7480,-191.56224257139337,50.0,0.0625
7500,-195.07297102876595,49.0,0.15625
7520,-195.00231620630439,44.0,0.078125
7540,-192.02932347596095,47.0,0.109375
7560,-194.68283992515575,39.0,0.140625
7580,-200.01428785667412,48.0,0.140625
7600,-192.24405725060595,48.0,0.09375
7620,-186.23842790299403,52.0,0.140625
7640,-190.38480473695728,47.0,0.125
7660,-193.19568127680856,54.0,0.15625
7680,-193.50627707767268,60.0,0.109375
7700,-198.41492915271556,56.0,0.078125
7720,-195.94524158166325,60.0,0.15625
7740,-204.20372943432145,51.0,0.0625
7760,-198.28119132896063,62.0,0.1875
7780,-194.68242441393033,51.0,0.109375
7800,-193.0250446836085,42.0,0.09375
7820,-192.12835637292125,45.0,0.0625
7840,-189.6269360323634,56.0,0.09375
7860,-194.795000385714,57.0,0.140625
7880,-192.8683044647898,50.0,0.078125
7900,-182.60402161924134,49.0,0.15625
7920,-189.9365302419676,38.0,0.0625
7940,-195.14330590363386,45.0,0.171875
7960,-189.0712417014281,44.0,0.1875
7980,-182.1006007004632,41.0,0.15625
8000,-190.9241963015938,39.0,0.140625
8020,-186.70566507575506,45.0,0.125
8040,-185.83874003108343,36.0,0.109375
8060,-192.0327932515865,34.0,0.0625
8080,-191.15664829073748,30.0,0.15625
8100,-190.81662108161044,39.0,0.140625
8120,-194.0988756142546,38.0,0.09375
8140,-189.56111889906782,33.0,0.109375
8160,-194.54937309824209,31.0,0.109375
8180,-193.3134627350516,33.0,0.0625
8200,-199.0649409256436,34.0,0.125
8220,-202.16675435729837,27.0,0.109375
8240,-200.07537915823377,31.0,0.125
8260,-200.95944230066314,31.0,0.109375
8280,-198.73230317801568,33.0,0.09375
8300,-194.70268794976568,37.0,0.140625
8320,-202.83121339068975,34.0,0.09375
8340,-205.22299536706836,34.0,0.078125
8360,-199.31203398357246,30.0,0.1875
8380,-195.14282393092822,32.0,0.171875
8400,-199.29919745395438,34.0,0.078125
8420,-197.19645604991405,39.0,0.125
8440,-200.20356759391996,48.0,0.15625
8460,-190.81937986950612,39.0,0.109375
8480,-187.18988141467034,37.0,0.15625
8500,-184.4485975175846,51.0,0.078125
8520,-185.70640186583603,44.0,0.171875
8540,-185.82841970352814,44.0,0.09375
8560,-186.4916883590843,36.0,0.09375
8580,-195.60309712621643,35.0,0.0625
8600,-188.67819267607604,33.0,0.15625
8620,-189.2771182284335,36.0,0.09375
8640,-188.94460380276615,34.0,0.109375
8660,-196.39102700740017,32.0,0.078125
8680,-206.4220655605021,31.0,0.125
8700,-199.48218184714943,36.0,0.1875
8720,-197.51463274817786,36.0,0.15625
8740,-192.21019729803976,39.0,0.15625
8760,-187.82808352577422,32.0,0.140625
8780,-191.97262897918466,34.0,0.046875
8800,-192.34405162993042,40.0,0.140625
8820,-196.92324518278895,51.0,0.109375
8840,-188.5783638408039,44.0,0.0625
8860,-188.82557309775046,47.0,0.1875
8880,-186.3102493425909,44.0,0.125
8900,-187.19442289363366,43.0,0.109375
8920,-189.76842208431086,42.0,0.109375
8940,-185.99238987108686,47.0,0.140625
8960,-192.64618845209841,47.0,0.15625
8980,-195.8182214447358,47.0,0.171875
9000,-188.28372970593531,46.0,0.09375
9020,-198.17370805808076,48.0,0.109375
9040,-194.3138709879774,46.0,0.078125
9060,-195.27971390100976,51.0,0.078125
9080,-189.20510592924873,47.0,0.09375
9100,-188.37541362694841,44.0,0.09375
9120,-188.98393496625948,42.0,0.125
9140,-188.25377992786673,44.0,0.078125
9160,-197.46086440586947,42.0,0.125
9180,-191.7307295714565,43.0,0.109375
9200,-195.27485956528213,42.0,0.171875
9220,-196.30521289663534,45.0,0.0625
9240,-196.85469963985585,41.0,0.125
9260,-197.3493936075346,38.0,0.140625
9280,-200.39690768032983,48.0,0.09375
9300,-198.08522248940284,43.0,0.15625
9320,-201.88066426739664,40.0,0.140625
9340,-209.22501263429706,41.0,0.125
9360,-206.99229878179932,42.0,0.078125
9380,-206.9264499150401,42.0,0.171875
9400,-199.23935640635878,39.0,0.109375
9420,-199.92049242609738,33.0,0.109375
9440,-196.4980123697353,41.0,0.109375
9460,-199.82772454411588,39.0,0.078125
9480,-191.7775980248617,44.0,0.171875
9500,-194.2059632042691,43.0,0.125
9520,-199.42099651226596,41.0,0.078125
9540,-201.55297759274492,39.0,0.15625
9560,-200.79711722663131,42.0,0.125
9580,-198.57401630922277,42.0,0.046875
9600,-202.4030541656961,43.0,0.109375
9620,-199.11777081066293,40.0,0.140625
9640,-201.5458388569718,44.0,0.140625
9660,-206.44582789264962,37.0,0.109375
9680,-205.75691464387768,45.0,0.078125
9700,-212.3691942219565,39.0,0.078125
9720,-210.97664055836913,42.0,0.0625
9740,-201.21368028278764,43.0,0.109375
9760,-202.35074418309233,41.0,0.171875
9780,-194.224163594863,41.0,0.109375
9800,-194.62710794513117,38.0,0.140625
9820,-207.43844076907305,40.0,0.15625
9840,-202.5593236173879,41.0,0.109375
9860,-197.8323822108835,47.0,0.078125
9880,-205.30620135966052,41.0,0.25
9900,-200.70079598872155,44.0,0.09375
9920,-199.56121237158004,39.0,0.140625
9940,-192.43198904923221,40.0,0.140625
9960,-202.52728819424806,38.0,0.15625
9980,-211.12928541460977,44.0,0.140625
10000,-206.15501651661526,43.0,0.140625
10020,-197.80159447618405,37.0,0.09375
10040,-193.89213096353473,38.0,0.125
10060,-195.7004504477977,39.0,0.15625
10080,-199.85006842894515,44.0,0.15625
10100,-203.0050006725827,42.0,0.125
10120,-201.3946234284207,43.0,0.125
10140,-199.35410172645885,43.0,0.171875
10160,-201.17422734418486,42.0,0.15625
10180,-202.6177751454705,39.0,0.140625
10200,-204.37924679957482,44.0,0.15625
10220,-198.9454417448203,43.0,0.09375
10240,-203.34686613480443,41.0,0.109375
10260,-202.73993692975841,42.0,0.09375
10280,-201.097501729228,39.0,0.15625
10300,-207.97458288391982,46.0,0.078125
10320,-204.57762504839712,43.0,0.046875
10340,-200.529216481191,41.0,0.046875
10360,-205.6288364705112,48.0,0.109375
10380,-202.46879702514582,39.0,0.125
10400,-199.19407539222962,40.0,0.140625
10420,-203.47723390105733,40.0,0.140625
10440,-202.71718136364908,40.0,0.09375
10460,-203.04067278121806,45.0,0.09375
10480,-200.26879494962455,40.0,0.0625
10500,-190.52823872034173,46.0,0.078125
10520,-196.30622147738615,43.0,0.09375
10540,-198.68030795699082,43.0,0.140625
10560,-199.60093274421223,46.0,0.09375
10580,-196.89577751241,42.0,0.140625
10600,-205.984925079228,41.0,0.15625
10620,-203.4595518498559,43.0,0.171875
10640,-201.89218482838606,40.0,0.078125
10660,-203.07400601036846,41.0,0.15625
10680,-208.76184116058397,41.0,0.125
10700,-211.37573691907676,43.0,0.109375
10720,-207.7462225614937,38.0,0.109375
10740,-210.24880276715894,41.0,0.109375
10760,-204.06491181789187,41.0,0.078125
10780,-204.40125947151486,41.0,0.09375
10800,-208.97269335537572,47.0,0.125
10820,-200.5421633769774,45.0,0.140625
10840,-206.50784648311924,40.0,0.078125
10860,-206.16887611895652,48.0,0.125
10880,-203.09035343473033,37.0,0.125
10900,-206.19418240943867,36.0,0.015625
10920,-201.69402038054616,41.0,0.109375
10940,-201.43627703293123,43.0,0.0625
10960,-209.94694267527643,45.0,0.15625
10980,-207.14982073047113,43.0,0.140625
11000,-196.33269358689796,46.0,0.078125
11020,-197.0244575003626,44.0,0.1875
11040,-200.98331755268794,44.0,0.09375
11060,-199.46763575988334,43.0,0.171875
11080,-203.9605698488507,40.0,0.078125
11100,-205.73644920774066,41.0,0.125
11120,-207.92503220720528,40.0,0.109375
11140,-202.73236523201675,45.0,0.125
11160,-203.0777239340847,42.0,0.09375
11180,-202.9315539305796,45.0,0.09375
11200,-209.5908222893006,39.0,0.140625
11220,-212.85066793889462,42.0,0.03125
11240,-205.6679611967342,39.0,0.140625
11260,-207.95619980106073,40.0,0.203125
11280,-204.8207193421382,35.0,0.078125
11300,-213.86048463166435,40.0,0.15625
11320,-214.43825795835423,43.0,0.125
11340,-214.76080040583324,43.0,0.046875
11360,-207.3595005723232,42.0,0.078125
11380,-211.240976339282,45.0,0.09375
11400,-216.3246001787569,38.0,0.171875
11420,-213.23879271137358,40.0,0.140625
11440,-217.03760480670812,43.0,0.171875
11460,-214.7750112541466,41.0,0.09375
11480,-216.70103999084083,42.0,0.09375
11500,-206.4164241927065,42.0,0.09375
11520,-209.85797444602787,45.0,0.09375
11540,-209.7017807317721,37.0,0.140625
11560,-207.5388316650114,40.0,0.09375
11580,-204.5717537190455,42.0,0.125
11600,-208.60054259673,42.0,0.078125
11620,-200.86465767572895,38.0,0.09375
11640,-199.20819316093022,43.0,0.078125
11660,-198.81414069459032,46.0,0.078125
11680,-196.93949016040563,36.0,0.03125
11700,-202.14524828239024,43.0,0.125
11720,-204.29388331232295,39.0,0.15625
11740,-203.45292125547311,38.0,0.0625
11760,-200.8665632786744,39.0,0.09375
11780,-198.30637787322848,37.0,0.078125
11800,-198.64409902310763,40.0,0.140625
11820,-197.15708900276422,41.0,0.046875
11840,-191.52549369115042,42.0,0.171875
11860,-190.3354440777508,46.0,0.125
11880,-187.05944128860776,43.0,0.109375
11900,-188.29599903080964,41.0,0.078125
11920,-192.8311217440703,39.0,0.171875
11940,-196.8962386269228,44.0,0.125
11960,-203.2384264358232,44.0,0.09375
11980,-202.50553332374474,49.0,0.078125
