mask,logp_mean_pseudo,logp_std_pseudo,logp_mean_classic,logp_std_classic,logp_mean_mix,logp_std_mix,var_missing_pseudo,var_missing_classic,var_missing_mix,ham_step_pseudo,ham_step_classic,ham_step_mix,acc_classic,acc_mix,alpha,rw_sigma
top,-205.57278573172434,8.069538344388695,-185.78778555733817,5.959827600962285,-158.56644090924945,6.527182497879539,0.02545609325170517,0.022648805752396584,0.025950081646442413,0.03973549361462179,0.03204892716114072,0.03265144376327162,0.1455357142857143,0.13839285714285715,0.5,0.15
bottom,-288.3447078159877,7.309786096612408,-242.55983407156808,9.217162536281599,-185.76216975620815,9.827925986558144,0.024454662576317787,0.02240798994898796,0.029380088672041893,0.03790108103683029,0.029650124356798504,0.035658251224220665,0.09263392857142858,0.12053571428571429,0.5,0.15
center,-221.54486105782644,5.3413477185457605,-167.6576950073242,6.193714327017201,-135.10473556518554,5.105308399627962,0.03792300820350647,0.04079727828502655,0.05984457954764366,0.023671748008633007,0.026338303677629734,0.03165350724821505,0.13549107142857142,0.11540178571428572,0.5,0.15
random50,-55.06778237479074,1.8248879811624377,-47.048371233258926,1.3012335644805455,-45.850447354997904,1.2944388129878563,0.009135976433753967,0.007527120877057314,0.008536139503121376,0.02794973290376905,0.02712018920135671,0.027824377101184666,0.18638392857142858,0.14174107142857142,0.5,0.15
