mask,f1_mean_pseudo,f1_last_pseudo,logp_pseudo,time_pseudo_s,kept_pseudo,f1_mean_classic,f1_last_classic,logp_classic,acc_classic,time_classic_s,kept_classic,gap_pseudo,gap_classic
top,0.49040043883708173,0.4570753921403272,-91.9659579906407,4.556818708006176,500,0.5532435740514076,0.5206151832460733,-90.68226167942103,0.11549479166666667,30.751290291998885,500,0.03332504669675451,0.032628390805334306
bottom,0.48137254901960785,0.4852518529723189,-129.86598090441572,4.99030745800701,500,0.5567425298033751,0.5288888888888889,-120.18685718769771,0.10104166666666667,31.350453833001666,500,-0.003879303952711022,0.027853640914486277
center,0.5132743362831859,0.5084521047398077,-110.52312200887643,4.918937459005974,500,0.63823114317077,0.6188407967650142,-76.6114518047412,0.1262890625,35.39379108299909,500,0.00482223154337813,0.019390346405755765
random50,0.8570577724836212,0.7879789631855748,-31.628318926924784,4.673488915999769,500,0.870028094041106,0.8028045574057844,-29.73322629714024,0.16796875,31.51544262500829,500,0.06907880929804644,0.06722353663532166
