mask,f1_pseudo,logp_pseudo,f1_classic,logp_classic,acc_classic,f1_mix,logp_mix,acc_mix,gain_f1_mix_vs_classic,gain_logp_mix_vs_classic,alpha,rw_sigma,mixing_std,multichain,adaptive
top,0.5025105442860012,-71.89639904309735,0.558667676003028,-72.45989020508688,0.13953125,0.6345514950166113,-49.15721564336347,0.22203125,0.07588381901358332,23.302674561723407,0,0.15,,False,False
MAR80,0.6914725175299706,-81.93808339471134,0.7624166845839604,-64.79987664485064,0.1903125,0.8120578283605044,-59.505251409438884,0.33484375,0.04964114377654405,5.294625235411758,0,0.15,,False,False
bottom,0.466825077682325,-101.0301590884174,0.5572557592063225,-101.84923828594977,0.09671875,0.6482961030490788,-56.54107860309806,0.24125,0.09104034384275628,45.30815968285171,0,0.15,,False,False
center,0.5178939479108113,-90.71694475652829,0.6300417246175244,-66.25526632486596,0.12671875,0.7187258388742849,-44.7134398440148,0.2125,0.08868411425676048,21.541826480851157,0,0.15,,False,False
