step,f1,logp,acc
2000,0.7162360848561227,-140.43695599693055,0.2052333208395802
2100,0.7380371352785146,-118.00661364139599,0.19625
2200,0.7465329635161084,-103.7142783770055,0.198125
2300,0.746908315565032,-100.03408381510405,0.2021875
2400,0.7522368981678739,-95.59906290675485,0.2040625
2500,0.7548820830220895,-92.28430591663691,0.20125
2600,0.7573333333333333,-90.11965981060055,0.2146875
2700,0.7565663036515055,-87.52551418817441,0.1978125
2800,0.7577533837791751,-85.98587098500131,0.20796875
2900,0.75903870693322,-84.46605861154578,0.20453125
3000,0.7579821200510856,-84.26566356526853,0.20109375
3100,0.7580112849994677,-83.23488413734643,0.2084375
3200,0.7588046958377801,-82.38256510829356,0.21078125
3300,0.7607675906183369,-82.11390602406333,0.17921875
3400,0.7604011094516748,-82.11970921801753,0.194375
3500,0.7598803674428541,-79.78565681501469,0.17953125
3600,0.7607558449877229,-79.7403448999133,0.2134375
3700,0.7595505617977528,-78.82502456177752,0.20390625
3800,0.75825117873982,-78.23893265163375,0.20078125
3900,0.7581250670385069,-77.91697118552348,0.19
4000,0.7569019228703405,-77.86021008699913,0.18875
4100,0.7580801030817137,-77.90142401284952,0.18078125
4200,0.7563909774436091,-77.81931605154645,0.1696875
4300,0.7570063352303232,-77.60109753008271,0.185
4400,0.7559478953601033,-77.1218918013137,0.18828125
4500,0.7558139534883721,-76.51285455883814,0.19421875
4600,0.7557375282835901,-76.52350871154366,0.2078125
4700,0.7555220342635491,-76.18872951484686,0.19578125
4800,0.7566051978863366,-76.12255445602366,0.2
4900,0.7568792489478796,-75.98695083254896,0.2040625
5000,0.7568733153638814,-75.6143322567252,0.19546875
5100,0.7571705844295881,-75.22064645566458,0.2115625
5200,0.7570597111446432,-74.5948417974355,0.20828125
5300,0.7571120689655172,-74.25960681837276,0.2259375
5400,0.7572982871916406,-74.21295659723889,0.2078125
5500,0.7572167169323567,-74.09759797589503,0.2084375
5600,0.7583979328165374,-74.05923429199422,0.18390625
5700,0.7588507478747444,-73.50271148440123,0.22125
5800,0.7589324149806285,-73.40434601033634,0.206875
5900,0.7583979328165374,-73.17905392064617,0.19953125
6000,0.758769098343017,-72.23794794637796,0.20703125
6100,0.7588064203382527,-71.94482066982785,0.1965625
6200,0.7591036414565826,-71.90087791021404,0.186875
6300,0.7594527631153721,-71.82136741908717,0.21046875
6400,0.7595863851788023,-71.77034633092504,0.22109375
6500,0.759237315522999,-71.79229952715912,0.21125
6600,0.7601809954751131,-71.75762607721362,0.20078125
6700,0.7606331431032626,-71.50028440623748,0.21265625
6800,0.760715054921387,-70.89193257703255,0.198125
6900,0.7608578510615368,-70.91240528336368,0.18171875
7000,0.7603964662788192,-70.92702240947233,0.1865625
7100,0.7608999892345786,-70.85131208246334,0.20375
7200,0.7603359173126615,-70.4573753816622,0.18234375
7300,0.7598319146643681,-70.12280309985962,0.18328125
7400,0.7599268266437104,-69.9316064231466,0.1896875
7500,0.7598535429679086,-69.92623068458501,0.19296875
7600,0.7596598859110968,-69.9294118908478,0.18984375
7700,0.7605633802816901,-69.92383135760771,0.1903125
7800,0.7608087760808776,-69.7804713091977,0.19421875
7900,0.7609420367781482,-69.69330470115207,0.2046875
8000,0.7609420367781482,-69.63973489880765,0.19828125
8100,0.7613208561901689,-69.23421360860812,0.205
8200,0.7611362169141381,-69.24828413155166,0.20578125
8300,0.7607969843834141,-69.26409186779993,0.1978125
8400,0.7596765498652291,-69.2621292413655,0.18671875
8500,0.7588736649045205,-69.17179738131247,0.20203125
8600,0.7583899859717277,-69.15274128630824,0.20140625
8700,0.7583378305450621,-69.16643238677293,0.1865625
8800,0.7592752372735116,-69.1756128371186,0.189375
8900,0.7591713422529133,-69.0919230915398,0.1953125
9000,0.7601078167115903,-68.83047361212469,0.185
9100,0.7600862998921252,-68.84255600937396,0.18625
9200,0.7598187311178247,-68.8559860146494,0.1865625
9300,0.7596330275229358,-68.86926006294333,0.18375
9400,0.7600647598488937,-68.84669686520115,0.19125
9500,0.7604054345481993,-68.84858580783664,0.20234375
9600,0.7606119370825253,-68.65354995186564,0.18984375
9700,0.7607758620689655,-68.64375369915845,0.1971875
9800,0.7610943558810858,-68.64896777617622,0.1934375
9900,0.7601293103448276,-68.64451102024383,0.20953125
10000,0.7598319146643681,-68.65649368159656,0.2046875
10100,0.7601507808292945,-68.668862979822,0.19375
10200,0.759698275862069,-68.62801923657699,0.19234375
10300,0.759081599655061,-68.64011053495935,0.19921875
10400,0.7591114945007548,-68.43814850981772,0.2009375
10500,0.759379042690815,-68.20928796118338,0.19828125
10600,0.7592153481353741,-68.04199182753727,0.19421875
10700,0.7598102630444157,-67.98371688993151,0.2028125
10800,0.7602200409880272,-67.98764132964308,0.22125
