mask,f1_mean_pseudo,f1_last_pseudo,logp_pseudo,time_pseudo_s,kept_pseudo,f1_mean_classic,f1_last_classic,logp_classic,acc_classic,time_classic_s,kept_classic,gap_pseudo,gap_classic
top,0.524187725631769,0.46127307227876485,-76.41874118740905,86.66941670002416,500,0.5570015616866215,0.5164099129269927,-86.4096160698499,0.134609375,328.12228610017337,500,0.06291465335300411,0.04059164875962884
bottom,0.4209049456331112,0.391072295002426,-129.27158211130902,229.0620399999898,500,0.4973043620323477,0.4906690942193901,-120.46375967557927,0.10619791666666667,323.578459299868,500,0.029832650630685187,0.00663526781295759
center,0.4707467282525019,0.4721045847910145,-92.19879396068714,141.80291340011172,500,0.6333960006836438,0.6106693174287607,-69.38751164514618,0.1216796875,325.4787094001658,500,-0.001357856538512614,0.02272668325488303
random50,0.86082083901257,0.7967282641623751,-31.29565696326155,137.53504099999554,500,0.8722956730769231,0.8126792452830188,-29.1461745870702,0.17852864583333333,305.24615119979717,500,0.06409257485019493,0.0596164277939043
