step,f1,logp,acc
2000,0.5472953427827596,-254.21824409424812,0.10513493253373313
2100,0.555058449992784,-222.6969001339714,0.1134375
2200,0.5578643578643578,-213.910606839894,0.10453125
2300,0.5594995635728833,-206.0936010827462,0.1140625
2400,0.5640574611550865,-202.37783166485937,0.09546875
2500,0.5651403249630724,-195.8495493568605,0.1090625
2600,0.5653396477726802,-192.47749914200517,0.11890625
2700,0.5631758258035846,-188.78110458709853,0.11796875
2800,0.5603448275862069,-187.72023080108022,0.0990625
2900,0.5596412556053811,-183.25046716462293,0.1071875
3000,0.559268694739997,-180.12083235236122,0.1028125
3100,0.5582444010220953,-176.16029587276634,0.1140625
3200,0.5586726998491705,-172.67386436993496,0.1196875
3300,0.5578724690238743,-169.49557327930341,0.10953125
3400,0.5569007263922519,-168.00296185509364,0.119375
3500,0.55799183426584,-164.8592478823043,0.121875
3600,0.556969696969697,-163.46275511334716,0.098125
3700,0.5571580385608016,-163.1180956731991,0.11
3800,0.5582030657155865,-162.8176498723097,0.10296875
3900,0.5596958174904944,-162.05547689716832,0.10359375
4000,0.5603408917972911,-160.3731015685198,0.11109375
4100,0.560195062480951,-158.00090026432179,0.1103125
4200,0.564430244941427,-154.21152737477047,0.10375
4300,0.5651113144251296,-150.81744195595158,0.09828125
4400,0.5672959805115713,-150.4050716024814,0.08703125
4500,0.5666869671132765,-149.86552447978076,0.08359375
4600,0.5663366336633663,-149.20147972768487,0.09640625
4700,0.5676416819012797,-149.02709908602458,0.108125
4800,0.5673369896404631,-145.5468446062157,0.095
4900,0.565767413504039,-145.18360873792233,0.10671875
5000,0.5666412795125666,-144.81594256002785,0.11296875
5100,0.5649786455155583,-144.42124630165625,0.10671875
5200,0.5641417226634087,-143.47555327822477,0.09578125
5300,0.564008554842652,-143.16830788927246,0.08765625
5400,0.5637973137973138,-143.1846356265955,0.09453125
5500,0.5623471882640587,-142.86470908319706,0.1075
5600,0.5618974751338944,-142.2883382245406,0.09859375
5700,0.5634665441739397,-140.69186355114232,0.10109375
5800,0.5640790078089113,-138.89907760235835,0.11375
5900,0.5630948725821308,-138.5844259086329,0.1115625
6000,0.5643625192012289,-138.58092437858167,0.0978125
6100,0.5638739431206764,-137.43818078115277,0.095
6200,0.5631635636251731,-137.0515860565792,0.10265625
6300,0.5640867825819357,-137.07249105839992,0.11125
6400,0.5652374366067312,-137.09202885967784,0.09890625
6500,0.5651505838967424,-136.77505718114284,0.101875
6600,0.5669024915410643,-136.78810138369374,0.1109375
6700,0.5672514619883041,-136.4691020208243,0.10375
6800,0.5672928857406837,-136.3828063921151,0.10359375
6900,0.5664971490214209,-136.2870629639594,0.1184375
7000,0.5657935285053929,-136.28284444621437,0.1121875
7100,0.5667129415394108,-134.97148107670012,0.10046875
7200,0.5664044423877834,-134.97569638950915,0.100625
7300,0.5658220024721878,-134.99254649755167,0.1171875
7400,0.5653382761816497,-134.5410383616209,0.1109375
7500,0.5650764242704956,-133.7723980982185,0.1153125
7600,0.5639283508338481,-133.77997361139924,0.12265625
7700,0.5656596794081381,-133.79575376102747,0.10546875
7800,0.566625539790253,-133.81081183431837,0.12015625
7900,0.5675967319253893,-133.8264176466799,0.11859375
8000,0.5680801850424055,-133.68162606525576,0.11265625
8100,0.5681677976557681,-133.4954888327583,0.1115625
8200,0.5690505548705302,-133.35272795580846,0.10921875
8300,0.567859346082665,-132.7523684768915,0.08765625
8400,0.5671042471042471,-131.3492331809548,0.10734375
8500,0.5666666666666667,-130.64499450838773,0.11109375
8600,0.5650695517774343,-130.56724761462527,0.10859375
8700,0.5653852092017909,-130.50281325023468,0.10671875
8800,0.5654660689441954,-130.0711544720818,0.1009375
8900,0.5659034653465347,-130.08430238413797,0.09875
9000,0.5672704753057749,-130.0975468428067,0.10953125
9100,0.5673121611154144,-130.09052913152664,0.0984375
9200,0.5680198326619151,-130.10321525783658,0.10578125
9300,0.5678018575851393,-129.71565742434814,0.09578125
9400,0.5675340768277571,-129.69219393221113,0.09390625
9500,0.5669144981412639,-126.45705667362846,0.09203125
9600,0.5674879900821324,-126.36080347934835,0.10359375
9700,0.568904045884359,-126.2517789147185,0.116875
9800,0.5686426249806531,-125.06067426885275,0.10234375
9900,0.5701455558996593,-125.07231146846723,0.09125
10000,0.5703680791834209,-124.36379230294125,0.0996875
10100,0.5697044716076126,-124.16181327425689,0.09953125
10200,0.5701917130488559,-123.9091272566364,0.08578125
10300,0.5705009276437848,-122.98236452585141,0.1003125
10400,0.5701917130488559,-122.521445645802,0.1040625
10500,0.5705009276437848,-122.52786693656333,0.11359375
10600,0.5698808234019501,-122.5054906193987,0.12125
10700,0.5691736304549675,-122.24938320884748,0.1025
10800,0.5709866996597588,-121.67064530220162,0.12140625
10900,0.5708101422387136,-120.89891030721023,0.10671875
11000,0.5700169831712213,-120.693254667525,0.11578125
11100,0.5700169831712213,-120.65820623157205,0.0975
11200,0.5707234305105661,-120.6557190182528,0.10796875
11300,0.5706798211808232,-120.66550422956135,0.10734375
11400,0.5722650231124807,-120.675293774939,0.09828125
11500,0.5714726291441788,-119.98052473601368,0.10984375
11600,0.5727496917385944,-119.63722377212989,0.09796875
11700,0.5720012334258403,-119.57901850543591,0.11609375
11800,0.5728379836596269,-119.58548264291029,0.1140625
11900,0.5727960475528794,-119.32667373606736,0.11859375
12000,0.5719146303742654,-119.33615692223593,0.10203125
12100,0.5728425610887721,-119.34534177304407,0.0984375
12200,0.5735475896168108,-119.02351272023016,0.10015625
12300,0.5743399722093562,-119.03266295575332,0.1159375
12400,0.5745600493979623,-119.03747175491449,0.11234375
12500,0.5746487571406516,-118.96802812721546,0.11796875
12600,0.574254365631278,-118.97640428502558,0.11953125
12700,0.574563436872199,-118.9849444584199,0.12265625
12800,0.5752280810267512,-118.98987441784404,0.13859375
12900,0.5742604924887719,-118.88271743180195,0.126875
13000,0.573775573465592,-118.87214042662757,0.11765625
13100,0.5743096493949736,-118.86935785962831,0.120625
13200,0.5743955362678239,-117.17348795276698,0.11515625
13300,0.574042487207319,-116.66399540046095,0.113125
13400,0.5730232558139535,-116.49812936446064,0.11046875
13500,0.5727582997207571,-116.49841571551214,0.1075
13600,0.5730685696556004,-116.23463192999921,0.12890625
13700,0.572360248447205,-116.2421445334937,0.12578125
13800,0.5715616268239677,-116.24904329584928,0.11890625
13900,0.5697421559490525,-116.25701580089353,0.10703125
14000,0.5707180603046317,-115.88484748035481,0.11859375
14100,0.5699175610514855,-115.88046867160591,0.10875
14200,0.5705407085146054,-115.87521541428957,0.113125
14300,0.5708961018791738,-115.69132775061428,0.1209375
14400,0.5709847778813296,-115.6669775753304,0.1109375
14500,0.5710293432696786,-115.67171015206975,0.10078125
14600,0.571517316353471,-115.67644553120428,0.0971875
14700,0.5721825520024837,-115.68146815318389,0.1034375
14800,0.572139303482587,-115.6870354949726,0.09
14900,0.57227230338825,-115.69275253814257,0.11421875
15000,0.5709396390790292,-115.45889913130446,0.12109375
15100,0.5708949416342413,-115.46407007321775,0.0990625
15200,0.5714730129102504,-115.47001651227504,0.10734375
15300,0.5717841032820035,-115.25632291960483,0.09640625
15400,0.5719620351641512,-115.26317537407114,0.10171875
15500,0.5713840884321968,-115.27021309886722,0.1090625
15600,0.5712062256809338,-115.27691691403359,0.10796875
15700,0.570404984423676,-115.23458910546735,0.11796875
15800,0.5716510903426791,-114.4178844419408,0.10125
15900,0.5712062256809338,-114.0422543537544,0.11828125
