mask,f1_pseudo,logp_pseudo,f1_classic,logp_classic,acc_classic,f1_multi,logp_multi,acc_multi,gain_f1_multi_vs_classic,gain_logp_multi_vs_classic,mixing_std,n_chains,adaptive
top,0.49355365897948067,-89.88827194315328,0.543853591160221,-94.2972790430645,0.09890625,0.5462524135509917,-88.6689886144645,0.133125,0.0023988223907707162,5.62829042860001,0.024160102009773254,5,False
random50,0.8584989617324236,-31.842849932222386,0.8740390301596689,-29.80332532028271,0.171875,0.8748707342295761,-29.7368485950956,0.191875,0.0008317040699071798,0.06647672518710834,0.00286182202398777,5,False
bottom,0.47639484978540775,-115.94738716531167,0.5721400778210117,-114.0422543537544,0.11828125,0.5638500635324015,-122.99275181948336,0.0996875,-0.008290014288610204,-8.950497465728958,0.036256786435842514,5,False
center,0.5193692149468632,-103.697998664378,0.6513350825744714,-74.03578136447155,0.1159375,0.6521468574984443,-69.31791584704649,0.12546875,0.0008117749239728855,4.717865517425054,0.04661968722939491,5,False
