step,f1,logp
2000,0.8204525418748163,-50.686497554459905
2100,0.853037037037037,-39.1413518599117
2200,0.8529672276350753,-37.1538010826994
2300,0.8537234042553191,-35.80252882262712
2400,0.8568467801628423,-35.24847523816739
2500,0.8565507031828276,-34.95308112877737
2600,0.8581979320531757,-34.77152856962928
2700,0.8577350111028867,-34.62146079522788
2800,0.8574814814814815,-34.55423072655846
2900,0.8572698977323254,-34.506054487265494
3000,0.8560415122312824,-34.44353972692139
3100,0.8576934479691669,-34.429602277252386
3200,0.8574814814814815,-34.2499566853396
3300,0.8574392412566686,-33.955307690586494
3400,0.8557435440783615,-33.86687593203497
3500,0.8569310600444774,-33.598857049020125
3600,0.8574395490283341,-33.622338571840444
3700,0.8568886252409906,-33.52667037351938
3800,0.8557877575218615,-33.4589826301567
3900,0.8565500889152341,-33.459554662445875
4000,0.8577356253704801,-33.38888779385774
4100,0.8576507184120871,-33.289147933036865
4200,0.8576507184120871,-33.30849325964174
4300,0.8579890419073004,-33.34156319644416
4400,0.8586232420429312,-33.32459057138405
4500,0.8587938953919099,-33.3024035906617
4600,0.858964852439567,-33.26228347554078
4700,0.8595139300533492,-33.22140300178659
4800,0.8595555555555555,-33.14959352166998
4900,0.8587938953919099,-33.09129429547159
5000,0.858877535909966,-32.980531995856694
5100,0.8584542493337282,-32.91089034893332
5200,0.8584123222748815,-32.93701057104393
5300,0.8586232420429312,-32.916375652529055
5400,0.8587503701510216,-32.893025148202646
5500,0.8583271650629164,-32.911327735084036
5600,0.8585394756332395,-32.90184964558007
5700,0.8584542493337282,-32.68222835429848
5800,0.8589193190229459,-32.66549324102667
5900,0.8589629629629629,-32.628307220455724
6000,0.8585813712424107,-32.544335539112595
6100,0.858201214994814,-32.54534379527002
6200,0.8585813712424107,-32.56424158864971
6300,0.8584123222748815,-32.58092094113802
6400,0.8582852065748556,-32.44094169126893
6500,0.8580740740740741,-32.45664760122158
6600,0.8581161137440758,-32.386645523592634
6700,0.8576507184120871,-32.36677463399456
6800,0.8578199052132701,-32.38542459704909
6900,0.8575236966824644,-32.3749278308986
