step,f1,logp,acc,rho
12400,0.5432311401997933,-101.7809478321292,0.13328125,1.0059646368026733
12500,0.5432311401997933,-101.59462508253732,0.12140625,1.0059646368026733
12600,0.5434183321847003,-101.59324259585053,0.12046875,1.0059646368026733
12700,0.5421977264898381,-101.30660826501725,0.09734375,1.0059646368026733
12800,0.5421977264898381,-100.3776930048011,0.119375,1.0059646368026733
12900,0.5421977264898381,-100.38689125105252,0.100625,1.0059646368026733
13000,0.5429458433942739,-100.39597605932859,0.1034375,1.0059646368026733
13100,0.542665057748664,-100.38734970714445,0.108125,1.0059646368026733
13200,0.542226818338504,-100.39629724569137,0.11328125,1.0059646368026733
13300,0.5422911283376399,-100.39005372656743,0.1090625,1.0059646368026733
13400,0.5431034482758621,-100.39882144742225,0.104375,1.0059646368026733
13500,0.5431375925607026,-100.40744078284445,0.1134375,1.0059646368026733
13600,0.5430395031913059,-100.41608283348432,0.1146875,1.0059646368026733
13700,0.543572044866264,-100.31512291824654,0.10609375,1.0059646368026733
13800,0.5443562305833621,-100.30318564019512,0.1240625,1.0059646368026733
13900,0.5452348066298343,-100.21892922525791,0.12078125,1.0059646368026733
14000,0.5443234836702955,-100.2235952238756,0.1290625,1.0059646368026733
14100,0.5439142461964038,-100.23173779164594,0.13515625,1.0059646368026733
14200,0.5437262357414449,-100.23898790449385,0.14,1.0059646368026733
14300,0.5442600276625172,-100.24685384575588,0.12828125,1.0059646368026733
14400,0.5435347065951186,-100.14861661628268,0.13125,1.0059646368026733
14500,0.543188506145058,-100.15427409973525,0.116875,1.0059646368026733
14600,0.5447309223048971,-99.63389327170017,0.1246875,1.0059646368026733
14700,0.5450138504155124,-99.62273012454249,0.13921875,1.0059646368026733
14800,0.545580589254766,-99.59553237013849,0.12375,1.0059646368026733
14900,0.5459590704127645,-99.60283040874106,0.13203125,1.0059646368026733
15000,0.5464329109529595,-99.61048807220024,0.1396875,1.0059646368026733
15100,0.5469373590144022,-99.61811848041006,0.12703125,1.0059646368026733
15200,0.547284400485858,-99.62549839991217,0.1221875,1.0059646368026733
15300,0.546904803190567,-99.6305880313148,0.13078125,1.0059646368026733
15400,0.5471567267683772,-99.63805813009571,0.12375,1.0059646368026733
15500,0.547313691507799,-99.64545766569151,0.1184375,1.0059646368026733
15600,0.546400693842151,-99.05841023095466,0.12640625,1.0059646368026733
15700,0.5462112016646437,-97.20873765359084,0.12265625,1.0059646368026733
15800,0.54630593132154,-97.20915327066795,0.13234375,1.0059646368026733
15900,0.5465903175429464,-97.21589931846123,0.11953125,1.0059646368026733
