mask,f1_pseudo,logp_pseudo,f1_classic,logp_classic,acc_classic,f1_adapt,logp_adapt,acc_adapt,rho_final,gain_f1_adapt_vs_classic,gain_logp_adapt_vs_classic,mixing_std,multichain,target_accept,adapt_lr
bottom,0.48373315806769634,-117.041160780765,0.5691971258981569,-113.34514172373304,0.11546875,0.5626077417332707,-105.61480316575283,0.11234375,1.0872341394424438,-0.006589384164886192,7.730338557980204,,False,0.13,0.005
center,0.5148986889153755,-95.82858722069493,0.6385140498491824,-70.39547497675443,0.16296875,0.6349206349206349,-66.65057310523946,0.116875,1.0053329467773438,-0.003593414928547478,3.744901871514969,,False,0.13,0.005
top,0.49378654970760233,-84.48257878389384,0.5278849526481936,-95.10924028859338,0.1128125,0.5459281125195347,-97.21589931846123,0.11953125,1.0059646368026733,0.018043159871341086,-2.106659029867842,,False,0.13,0.005
random50,0.8526002971768202,-31.448900001557462,0.8711620390774203,-29.660787645175066,0.17609375,0.8702805935066843,-29.29671510928707,0.1884375,1.0,-0.0008814455707359947,0.3640725358879955,,False,0.13,0.005
