step,f1,logp,acc,rho
2000,0.6306599585676236,-175.8864554572393,0.13792322588705647,1.0
2100,0.643957345971564,-142.84600042544454,0.14546875,1.0002281665802002
2200,0.6443390634262004,-131.72724311088996,0.1475,1.0
2300,0.6416280113721382,-125.76592621908583,0.1465625,1.0022650957107544
2400,0.6458395914689096,-115.00854267754073,0.15734375,1.0020114183425903
2500,0.6504040706375337,-109.28109366085343,0.1471875,1.0011099576950073
2600,0.6576900059844405,-107.06244622824791,0.14890625,1.0
2700,0.6636891469405984,-104.17254114416873,0.1446875,1.0003376007080078
2800,0.6628996282527881,-101.99614407802017,0.1421875,1.0012414455413818
2900,0.662318410910169,-100.03522365664847,0.1440625,1.0044128894805908
3000,0.662416604892513,-98.8085773022458,0.14203125,1.0041366815567017
3100,0.6622261693309651,-96.65822916786873,0.14421875,1.0011382102966309
3200,0.6614429331756357,-95.53874327439613,0.13546875,1.0034748315811157
3300,0.6607222469906375,-94.11417438195453,0.1365625,1.0004907846450806
3400,0.660812620925733,-91.92258821496978,0.14171875,1.0011037588119507
3500,0.658012533572068,-91.17775669777387,0.14234375,1.0067884922027588
3600,0.6573907839616996,-90.26330421989103,0.12828125,1.002196192741394
3700,0.6589854855603771,-89.64114288763568,0.14109375,1.0031737089157104
3800,0.6586718632888623,-88.49954923325363,0.15625,1.0053329467773438
3900,0.6593637454981993,-88.49403466337967,0.12171875,1.0053329467773438
4000,0.658554904611687,-88.02271391319522,0.1228125,1.0053329467773438
4100,0.6589543269230769,-86.53584539692145,0.1246875,1.0053329467773438
4200,0.6571428571428571,-86.2042447343629,0.135625,1.0053329467773438
4300,0.657233177781123,-85.49938632151455,0.13828125,1.0053329467773438
4400,0.6597379123361952,-85.03872833678989,0.133125,1.0053329467773438
4500,0.6594235702429455,-83.57509242451187,0.135625,1.0053329467773438
4600,0.6630451184548061,-83.11931684319119,0.1278125,1.0053329467773438
4700,0.6642555756479807,-82.57031339426717,0.13234375,1.0053329467773438
4800,0.6638516060925954,-82.4270554057599,0.11078125,1.0053329467773438
4900,0.6623454929152849,-82.30646605186772,0.12703125,1.0053329467773438
5000,0.6628502561012353,-81.55989450967837,0.12265625,1.0053329467773438
5100,0.6629467651937868,-81.32499619606443,0.13765625,1.0053329467773438
5200,0.6624415270861627,-81.31088862081586,0.123125,1.0053329467773438
5300,0.6611295681063123,-81.31220624558891,0.13390625,1.0053329467773438
5400,0.6620398310199155,-80.86984487886724,0.1178125,1.0053329467773438
5500,0.6621397314018409,-80.49588256297693,0.13703125,1.0053329467773438
5600,0.6614315916641498,-80.07370841360607,0.12375,1.0053329467773438
5700,0.6619313888469095,-79.9788262375854,0.12875,1.0053329467773438
5800,0.6604172966434835,-79.99775240964811,0.13703125,1.0053329467773438
5900,0.6617179215270413,-79.21711223671186,0.14515625,1.0053329467773438
6000,0.6620124449840643,-79.07149346494714,0.12203125,1.0053329467773438
6100,0.6608986035215544,-78.85883573711598,0.13921875,1.0053329467773438
6200,0.6615010635065329,-77.99748558389015,0.12171875,1.0053329467773438
6300,0.6600670118793787,-77.62064551114685,0.13015625,1.0053329467773438
6400,0.6582201190657915,-77.61123752332001,0.12859375,1.0053329467773438
6500,0.6568672485071199,-77.63347199315209,0.12546875,1.0053329467773438
6600,0.6565517241379311,-77.4699050263672,0.1303125,1.0053329467773438
6700,0.6562308164518109,-77.26941609094357,0.13046875,1.0053329467773438
6800,0.6549761575142286,-77.28050314600127,0.11203125,1.0053329467773438
