step,f1,logp,acc,rho
2000,0.5358090185676393,-256.2625583881318,0.12257152673663169,1.0
2100,0.5373803827751196,-218.15751636933845,0.1375,1.0048837661743164
2200,0.5410599009157784,-205.10354832299308,0.13109375,1.0120912790298462
2300,0.5450423216444982,-194.60558573053038,0.1475,1.0187135934829712
2400,0.5489780469341408,-186.04361757587415,0.13609375,1.0288296937942505
2500,0.5465028068578365,-182.33012979073033,0.14234375,1.0315243005752563
2600,0.5481616529930112,-177.16189367238263,0.1328125,1.0374629497528076
2700,0.5506540918770916,-172.546500936087,0.14046875,1.042294979095459
2800,0.5502742230347349,-170.10579908764322,0.12046875,1.0512480735778809
2900,0.547673531655225,-169.9083380762039,0.1175,1.0613553524017334
3000,0.5490136106438294,-166.4415917628312,0.13046875,1.0770994424819946
3100,0.54525928198834,-163.20064682815416,0.12625,1.0786556005477905
3200,0.5471292600552656,-160.86759026600927,0.1225,1.078948736190796
3300,0.551692449073365,-159.8389623190484,0.12484375,1.0809297561645508
3400,0.5487431023911711,-158.18729774914993,0.14203125,1.095593810081482
3500,0.550022981461621,-157.45163675805014,0.1296875,1.0958915948867798
3600,0.5513861234492266,-156.64143911086435,0.13296875,1.1009098291397095
3700,0.5536533170284317,-155.0307878603286,0.13140625,1.0875297784805298
3800,0.5542795896493645,-152.41417336679808,0.1465625,1.0872341394424438
3900,0.5556915544675642,-151.2078523913467,0.1378125,1.0872341394424438
4000,0.5576981940618304,-150.62020746122556,0.13078125,1.0872341394424438
4100,0.5556236592093166,-150.2739415747236,0.1465625,1.0872341394424438
4200,0.5564577907154895,-148.45586127766757,0.1253125,1.0872341394424438
4300,0.5558791966886402,-147.91356336608425,0.12359375,1.0872341394424438
4400,0.555964428089543,-147.74700706380315,0.125,1.0872341394424438
4500,0.5552825552825553,-146.392567758427,0.1228125,1.0872341394424438
4600,0.5546166845905669,-146.27353215519014,0.12,1.0872341394424438
4700,0.5536098310291858,-145.66380564998633,0.10734375,1.0872341394424438
4800,0.553269880257906,-145.50403710322195,0.1309375,1.0872341394424438
4900,0.5559134836631385,-145.1394117570503,0.10609375,1.0872341394424438
5000,0.5556919300398895,-144.7173183694939,0.12296875,1.0872341394424438
5100,0.5540540540540541,-142.88076887064085,0.12734375,1.0872341394424438
5200,0.5520849361440222,-142.56085702043697,0.1275,1.0872341394424438
5300,0.5520961775585697,-142.22927195560467,0.1215625,1.0872341394424438
5400,0.5517879161528977,-141.91969123094813,0.145,1.0872341394424438
5500,0.5500231231694157,-141.48008960364055,0.12890625,1.0872341394424438
5600,0.5493218249075216,-141.43030024912815,0.11890625,1.0872341394424438
5700,0.5479790188213515,-141.25609188414566,0.12140625,1.0872341394424438
5800,0.5483721647893843,-140.7610112582219,0.13046875,1.0872341394424438
5900,0.5481184454040715,-140.71922525802904,0.1228125,1.0872341394424438
6000,0.5498843484965305,-140.47080495255062,0.13109375,1.0872341394424438
6100,0.5481481481481482,-139.75386994044624,0.1178125,1.0872341394424438
6200,0.5500308832612724,-139.77262571960443,0.10234375,1.0872341394424438
6300,0.5509259259259259,-139.3787873841757,0.11484375,1.0872341394424438
6400,0.5498843484965305,-138.71338582144926,0.119375,1.0872341394424438
6500,0.5507246376811594,-138.32175053247732,0.11046875,1.0872341394424438
6600,0.5501079247610238,-138.3006489877187,0.12875,1.0872341394424438
6700,0.5522134814129261,-138.25062607462002,0.129375,1.0872341394424438
6800,0.5510329941412273,-138.27073614391577,0.11796875,1.0872341394424438
6900,0.55155432440751,-137.55915811924393,0.11109375,1.0872341394424438
7000,0.551915089986156,-137.5617699678782,0.0953125,1.0872341394424438
7100,0.5504926108374384,-137.5777184729722,0.09875,1.0872341394424438
7200,0.5504926108374384,-137.41854904774328,0.10625,1.0872341394424438
7300,0.5505773672055427,-137.15109144789244,0.10265625,1.0872341394424438
7400,0.5507782400986284,-136.90136890108778,0.09890625,1.0872341394424438
7500,0.550563532499614,-136.53584904975725,0.105625,1.0872341394424438
7600,0.5508186592523941,-134.68574003603806,0.10828125,1.0872341394424438
7700,0.5506485484867202,-134.23086764550584,0.114375,1.0872341394424438
7800,0.5497293116782676,-133.77207659848955,0.12609375,1.0872341394424438
7900,0.5516493727737339,-133.78665019018132,0.135,1.0872341394424438
8000,0.5500464828013635,-133.31009205289172,0.12140625,1.0872341394424438
8100,0.5503251780737071,-132.54742309442526,0.1228125,1.0872341394424438
8200,0.5507201486758556,-131.49716560833363,0.1259375,1.0872341394424438
8300,0.5515320334261838,-131.51169242133923,0.114375,1.0872341394424438
8400,0.5516813885014722,-131.5171050500413,0.1165625,1.0872341394424438
8500,0.5528354508831732,-131.5310775031432,0.106875,1.0872341394424438
8600,0.5527295285359801,-131.5442864316205,0.11359375,1.0872341394424438
8700,0.5537651069104431,-129.8129613199751,0.1353125,1.0872341394424438
8800,0.5534025732444582,-126.95529670687367,0.1325,1.0872341394424438
8900,0.5537459283387622,-126.67533131779048,0.1375,1.0872341394424438
9000,0.5542280837858805,-124.76831784640629,0.12703125,1.0872341394424438
9100,0.5545722713864307,-124.64390010885103,0.1253125,1.0872341394424438
9200,0.552860696517413,-123.4757172945643,0.13625,1.0872341394424438
9300,0.5527950310559007,-122.28255298154667,0.13796875,1.0872341394424438
9400,0.5529667598633116,-121.87764990367037,0.1259375,1.0872341394424438
9500,0.5544677544677544,-121.86387574770006,0.12921875,1.0872341394424438
9600,0.554726368159204,-121.32380949482291,0.1284375,1.0872341394424438
9700,0.5547081712062257,-121.28597091829023,0.1309375,1.0872341394424438
9800,0.5569895817135748,-121.29883738607123,0.1275,1.0872341394424438
9900,0.5555555555555556,-119.72014715067814,0.13453125,1.0872341394424438
10000,0.5578358208955224,-119.21638287692377,0.131875,1.0872341394424438
10100,0.5579439252336449,-119.22298856557092,0.13796875,1.0872341394424438
10200,0.557806170146463,-118.3085539501806,0.14265625,1.0872341394424438
