step,f1,logp
2000,0.46460924305235685,-293.71203057132857
2100,0.45787781350482315,-241.07829426552343
2200,0.46267934870224087,-231.2848728059987
2300,0.46119379100656105,-216.7931009339275
2400,0.4630732099758648,-209.77014091670537
2500,0.4679755391052462,-204.2632587218913
2600,0.46755755916921593,-197.2886866619906
2700,0.467524115755627,-191.079376355002
2800,0.4693712623242282,-185.26453001171353
2900,0.4682990108642776,-182.5501527718176
3000,0.4656687276277254,-179.22135391370148
3100,0.46594049748008454,-176.99451007950827
3200,0.4654498044328553,-174.18986974836162
3300,0.4671223958333333,-170.88724828327656
3400,0.4669057711118357,-170.36724379407357
3500,0.4670697826442229,-165.47546919981386
3600,0.4698972099853157,-163.03911534149057
3700,0.4711648423460219,-162.229257634837
3800,0.46995251350908795,-159.97373069860515
3900,0.46960511223988205,-158.64342203092073
4000,0.4702596122247782,-157.44063373259723
4100,0.468477366255144,-157.17786213261644
4200,0.467622343054869,-154.06285041971134
4300,0.4671388568604843,-152.75614787550927
4400,0.46967699406723795,-152.145750114259
4500,0.4716358839050132,-152.1851056303492
4600,0.47274529236868185,-151.95919799703677
4700,0.4737710326624876,-151.9965741113129
4800,0.4732849604221636,-152.02567443761933
4900,0.47474913637111366,-151.41206147940318
5000,0.47536136662286466,-148.11450691296545
5100,0.47698882314266927,-146.60479718504172
5200,0.47808241668034807,-145.9886613854668
5300,0.4773324572930355,-145.54346709212257
5400,0.4802890932982917,-144.44589466963413
5500,0.47915982934033474,-144.47431346028742
5600,0.4801574286651361,-142.4936748692935
5700,0.48023618172871907,-139.8758303056074
5800,0.4791187109503453,-139.43605280374283
5900,0.4781964785255883,-138.99083985686516
6000,0.4798552869593817,-138.80847229450302
6100,0.48312028843002297,-138.4146499604285
6200,0.4833470057424118,-137.64224071018978
6300,0.48475909537856443,-136.58492155788613
6400,0.4845310198068424,-134.43175522558988
6500,0.4843826655764514,-133.61181756695387
6600,0.48411398624303964,-133.6193694513848
6700,0.4845512506130456,-133.02212994495488
6800,0.4838182412553122,-132.99229627645408
6900,0.48256670486167946,-132.96131761015877
7000,0.4850868567682727,-132.86802123757388
7100,0.4843622073030948,-132.1790675507152
7200,0.48484848484848486,-132.19825273414025
7300,0.4850073734229068,-132.0417720220426
7400,0.48367514356029534,-132.059980539947
7500,0.4833360696109013,-131.37559020078476
7600,0.48307591192901744,-130.45284496610412
7700,0.48289473684210527,-130.3533280225538
7800,0.4823955248436986,-128.86109218163938
7900,0.4825543120473996,-128.66956641351112
8000,0.4843595653605532,-128.40501822025433
8100,0.48278134783325094,-127.94480428400078
8200,0.48396117782530024,-127.91287369089534
8300,0.48546559369354575,-127.62858885770804
8400,0.4848982271831911,-127.64248774373345
8500,0.48463939543288975,-127.54547236357132
8600,0.4857236626189695,-126.7002559005476
8700,0.48565338580095097,-126.71484081397628
8800,0.4840827042993108,-126.65901043370953
8900,0.48342632097144733,-126.67137881436769
9000,0.4844211216792391,-125.16226377693029
9100,0.4844211216792391,-125.17577867999874
9200,0.4851663661694804,-125.18967585029536
9300,0.4850073734229068,-125.09257354313749
9400,0.485335081107652,-125.10613711113534
9500,0.4851663661694804,-124.78867311588384
9600,0.4849081364829396,-124.80183899568657
9700,0.4848186443459708,-124.74250144631834
9800,0.4854751354012802,-124.74916217955351
9900,0.4848186443459708,-124.3632541099172
10000,0.48441089596324255,-123.52408992511755
10100,0.4836644229190609,-121.9620495239206
10200,0.4829059829059829,-121.1655811325619
10300,0.48258869908015767,-120.8679999014557
10400,0.4826679809429933,-120.87929419292675
10500,0.4834045349983569,-120.89108158645466
10600,0.4832347140039448,-120.76996594180946
10700,0.48382328789620627,-120.78019115428259
10800,0.48413089952310473,-120.76747608095104
10900,0.48222514812376566,-120.77871039513619
11000,0.4818047093693397,-120.34891510267569
11100,0.4818721160184575,-120.35990795956974
11200,0.48195154112411404,-120.37074005684256
11300,0.4813592873639063,-120.3808807471011
11400,0.4814509480626546,-119.70955145038087
11500,0.4806201550387597,-119.42712457772357
11600,0.4810418727332674,-119.39773940576153
11700,0.48095002474022763,-119.40699796550861
11800,0.4824402308326463,-119.41707501217297
11900,0.48193963384463134,-119.42586352214673
12000,0.48234905971626524,-119.43582197571313
12100,0.48193963384463134,-119.44575224466138
12200,0.4816097641431635,-119.4161751752421
12300,0.4810962522701007,-119.41944297568014
12400,0.4819277108433735,-119.42895252957837
12500,0.481744589459772,-119.43765119377667
12600,0.4823257350512058,-119.31500521645967
12700,0.48323699421965316,-119.31593675002367
12800,0.48306624814141746,-119.32521913159724
12900,0.48289538919186914,-119.11768197518609
13000,0.4837163167465697,-118.96879750275733
13100,0.48396694214876035,-118.96967376090979
13200,0.4837163167465697,-118.97857653099305
13300,0.48314606741573035,-118.98590977205238
13400,0.48296394310287794,-118.99372276109852
13500,0.4823821339950372,-119.00116624223998
13600,0.48313492063492064,-119.00980174754513
13700,0.4833856835840635,-119.01821351079843
13800,0.48198347107438017,-118.60039637650246
13900,0.48165289256198346,-118.60510940084258
14000,0.48133465477370335,-118.31145387972649
14100,0.48108376011894927,-118.31870478716672
14200,0.4821664464993395,-117.55149034866827
14300,0.48184818481848185,-117.55951711702326
14400,0.4824402308326463,-117.56740851284667
14500,0.48234905971626524,-117.53227333846264
14600,0.4817807089859852,-117.53991376505249
14700,0.4818047093693397,-117.54769833555326
14800,0.4825657894736842,-117.55547595188106
14900,0.4825657894736842,-117.56323193798066
15000,0.48232779878349497,-117.0222336523308
15100,0.4820782637290365,-117.02939219750614
15200,0.48298536906131845,-117.0369803017064
15300,0.4823161704227669,-117.04378315267611
15400,0.4829059829059829,-117.05092602339778
15500,0.4824186657903385,-117.01426786065943
15600,0.4824071029266689,-117.02159386828257
15700,0.4836536881879415,-117.02677038478438
15800,0.483245729303548,-117.03395717639735
15900,0.48423127463863336,-117.041160780765
