step,f1,logp
2000,0.48855461085676916,-255.82222943137316
2100,0.5022127520078675,-199.49244491910008
2200,0.5142951035162668,-181.41785590505896
2300,0.5092776673293572,-170.15092004169898
2400,0.5114200595829196,-166.10809840700327
2500,0.508581903016164,-153.61208738943552
2600,0.5146666666666667,-148.76655290573444
2700,0.5162689804772235,-146.66698782024594
2800,0.5163770053475936,-145.0233795923624
2900,0.5102006407013995,-142.61335465227322
3000,0.504480135249366,-142.2532215191039
3100,0.5081828918508521,-140.80336758658223
3200,0.5082519366790165,-139.26013674854124
3300,0.5070042194092828,-139.11927616662626
3400,0.5067476383265856,-136.46809159529516
3500,0.5050709939148073,-135.46610601829835
3600,0.5016098966276902,-134.74121272893456
3700,0.5037389530931339,-133.74889245529545
3800,0.5033270772905647,-132.40989596583185
3900,0.5046153846153846,-130.1107558220417
4000,0.5049708604730888,-128.30257665920166
4100,0.5036935234495791,-128.30274523997093
4200,0.5036935234495791,-128.2221760097236
4300,0.5042074532028165,-127.3083491331225
4400,0.5060860620606892,-127.18603184982834
4500,0.5087179487179487,-126.20075174407384
4600,0.5098976109215017,-125.67097006446645
4700,0.5119209809264306,-124.73492425421142
4800,0.5132049752939172,-124.66807242364416
4900,0.5119291070211316,-122.91552219684982
5000,0.511342316220365,-121.8788745112831
5100,0.5091281351305238,-121.77411088737996
5200,0.5112551159618008,-120.38882442551397
5300,0.5108195604021128,-119.89541442232374
5400,0.5101449275362319,-119.41767107304645
5500,0.5111679454390452,-119.44648047413378
5600,0.5129604365620737,-117.34512290270088
5700,0.514480408858603,-117.32538963760776
5800,0.5155025553662692,-116.71346748274888
5900,0.5149863760217984,-116.14982615188106
6000,0.5152600170502983,-116.06748961043346
6100,0.5141493351517218,-116.08727513486008
6200,0.5152600170502983,-114.48237163035118
6300,0.5154463218979348,-114.50268637733703
6400,0.5171413951901757,-114.52556912260471
6500,0.5175707949505288,-114.53033471890018
6600,0.5158865732832252,-114.37529134197148
6700,0.5153122326775021,-114.13145039851975
6800,0.5141194591819271,-113.70371447929921
6900,0.5125042822884549,-113.71707557385332
7000,0.5127677806341046,-111.40220042314645
7100,0.5121783876500857,-111.37242432689612
7200,0.5116678105696637,-111.36879411629992
7300,0.511324639670556,-111.10207360813334
7400,0.5123541523678792,-111.1009858773293
7500,0.5135413095646212,-110.49753674663853
7600,0.514637904468413,-110.51525815654335
7700,0.5164383561643836,-110.40245032473081
7800,0.517188301693176,-110.40552048827801
7900,0.5167464114832536,-109.34239416841602
8000,0.5170765027322405,-109.28438003407135
8100,0.5169115134950462,-109.30046812082901
8200,0.5160628844839371,-109.16192282336016
8300,0.5129170230966638,-108.76380554522497
8400,0.5118110236220472,-108.25209199808808
8500,0.511890504704876,-108.19471756823121
8600,0.5137677441422952,-108.20408449388361
8700,0.5152032798086779,-108.20656419060519
8800,0.5139435414884517,-108.18971004783552
8900,0.514461749101489,-108.20426599967337
9000,0.5135227661759671,-108.12766434875559
9100,0.5137771692623653,-108.14084331605218
9200,0.5147939114075595,-108.1533127485441
9300,0.5147939114075595,-108.16531398093403
9400,0.5136892539356606,-105.613555217881
9500,0.5141880341880342,-105.53364368035801
9600,0.5127415768770309,-105.1854457072265
9700,0.5121450564488539,-105.11537669728182
9800,0.5129958960328317,-105.1282455746947
9900,0.5129958960328317,-103.81807029394801
10000,0.5118029421826891,-103.57037717801288
10100,0.5113811398254321,-103.35304296193233
10200,0.5123995211219429,-103.36409312167412
10300,0.5125748502994012,-103.17911125814302
10400,0.5114686751112633,-103.1838357092953
10500,0.5113889364617229,-103.19564041282734
10600,0.5108788761350008,-103.207309149426
10700,0.5099383139136395,-103.21882048209551
10800,0.5098577061546374,-103.23013812798138
10900,0.5102880658436214,-102.96727510399775
11000,0.5096829477292202,-102.97842348966985
11100,0.5099247091033539,-102.9893253917966
11200,0.5095824777549623,-102.63535566915724
11300,0.5100854700854701,-102.60039654600625
11400,0.5097502565856996,-102.59045182233677
11500,0.5098307402974868,-102.60099714993724
11600,0.5107692307692308,-102.6112459875961
11700,0.5103401128012306,-102.62158702719617
11800,0.5101587843605941,-102.63182157815999
11900,0.5104131102765449,-102.29329678924864
12000,0.5110162254483348,-102.30332694428785
12100,0.5100854700854701,-101.58997135179935
12200,0.5102529049897471,-101.5992320997685
12300,0.5104202254868466,-100.92442385000669
12400,0.5109364319890636,-99.78849123466131
12500,0.5105946684894054,-99.25408428451013
12600,0.5105074320861097,-99.26353510879902
12700,0.5111035189613939,-99.27021582869705
12800,0.5100854700854701,-99.20539219695164
12900,0.5105946684894054,-99.21455726737179
13000,0.5109364319890636,-99.22302004731309
13100,0.5105146178833989,-99.23128273391904
13200,0.5109364319890636,-98.36054130428454
13300,0.5107692307692308,-97.99723153591215
13400,0.5105146178833989,-97.98822673905208
13500,0.5104273504273504,-97.99499388452867
13600,0.5105946684894054,-98.00361578970036
13700,0.5110959371799249,-98.01190630471356
13800,0.5116914149172214,-97.98859854198619
13900,0.5118580447022693,-97.99657479396296
14000,0.5112627986348123,-98.00465046108587
14100,0.5116040955631399,-98.0127753355744
14200,0.5110087045570917,-98.02034535515286
14300,0.5110087045570917,-97.91576315339682
14400,0.5110087045570917,-97.90165191022369
14500,0.5116914149172214,-97.90964406267932
14600,0.5113500597371565,-97.91743534344394
14700,0.5118580447022693,-97.92531803283146
14800,0.5118580447022693,-97.91600951864538
14900,0.5123656830973904,-97.92363949772479
15000,0.5132139812446718,-97.75696996386054
15100,0.5129604365620737,-97.7646185133444
15200,0.5134674394817593,-97.77156332495369
15300,0.5137208113175388,-97.77895299785081
15400,0.5139740967961827,-97.78642750470948
15500,0.5139740967961827,-97.71657966037759
15600,0.5139740967961827,-97.72394584866558
15700,0.5148986889153755,-97.72856494296002
15800,0.514392778061659,-95.82680388566543
15900,0.5146457765667575,-95.82858722069493
