mask,f1_pseudo,logp_pseudo,f1_classic,logp_classic,acc_classic,f1_mix,logp_mix,acc_mix,gain_f1_mix_vs_classic,gain_logp_mix_vs_classic,alpha,rw_sigma,mixing_std,multichain,adaptive
top,0.5277676950998185,-73.89321815708213,0.5706797134370085,-69.77104329504931,0.11265625,0.652382584847446,-50.96625552889181,0.16109375,0.08170287141043753,18.804787766157503,0.25,0.15,,False,False
random50,0.8509156954744967,-32.00173923468296,0.8700615893044915,-29.424100189460265,0.18765625,0.8797610156833457,-29.39243050820817,0.15703125,0.009699426378854237,0.031669681252093795,0.25,0.15,,False,False
bottom,0.42392444910807975,-110.53328333803032,0.5201954397394137,-107.14099652487346,0.08984375,0.6612116443745083,-58.67250104570177,0.17953125,0.14101620463509457,48.468495479171686,0.25,0.15,,False,False
center,0.4745113070141817,-87.10520094648922,0.6387845681119836,-59.921596612227674,0.11625,0.7435553568767694,-47.44527219524073,0.155625,0.10477078876478585,12.476324416986941,0.25,0.15,,False,False
